"","source","agreement","stimuli","n","percent","lemma_naming","lemma_dis","dist"
"325","brodeur",90,"journey",18,58.0645161290323,"bridge","bridge",0
"326","brodeur",90,"make_a_splash",13,41.9354838709677,"bridge","bridge",0
"327","brodeur",90,"quest",29,93.5483870967742,"bridge","bridge",0
"328","brodeur",90,"return",19,61.2903225806452,"bridge","bridge",0
"329","brodeur",90,"wanderer",18,58.0645161290323,"bridge","bridge",0
"330","brodeur",88,"campsite",24,77.4193548387097,"bull","bull",0
"331","brodeur",93,"picture_this",14,45.1612903225806,"cactus","cactus",0
"332","brodeur",88,"arrival_3",25,80.6451612903226,"cat","cat",0
"333","brodeur",88,"arrival_4",24,77.4193548387097,"cat","cat",0
"334","brodeur",88,"arrival_5",26,83.8709677419355,"cat","cat",0
"335","brodeur",88,"flowerman",13,41.9354838709677,"cat","cat",0
"336","brodeur",88,"journey",28,90.3225806451613,"cat","cat",0
"337","brodeur",88,"return",15,48.3870967741936,"cat","cat",0
"338","brodeur",88,"wanderer",24,77.4193548387097,"cat","cat",0
"339","brodeur",88,"journey",13,41.9354838709677,"chair","chair",0
"340","brodeur",88,"return",14,45.1612903225806,"chair","chair",0
"341","brodeur",86,"arrival_4",16,51.6129032258064,"chimney","chimney",0
"342","brodeur",86,"arrival_6",10,32.258064516129,"chimney","chimney",0
"343","brodeur",86,"flowerman",15,48.3870967741936,"chimney","chimney",0
"344","brodeur",95,"flowerman",10,32.258064516129,"cloud","cloud",0
"345","brodeur",95,"journey",18,58.0645161290323,"cloud","cloud",0
"346","brodeur",95,"wanderer",15,48.3870967741936,"cloud","cloud",0
"347","brodeur",82,"arrival_4",10,32.258064516129,"shrimp","shrimp",0
"348","brodeur",88,"quest",29,93.5483870967742,"crown","crown",0
"349","brodeur",88,"return",23,74.1935483870968,"crown","crown",0
"350","brodeur",95,"birthday_party_fun",11,35.4838709677419,"cupcake","cupcake",0
"351","brodeur",82,"arrival_3",10,32.258064516129,"window","window",0
"352","brodeur",82,"arrival_5",15,48.3870967741936,"window","window",0
"353","brodeur",82,"arrival_6",25,80.6451612903226,"window","window",0
"354","brodeur",82,"flowerman",27,87.0967741935484,"window","window",0
"355","brodeur",82,"journey",12,38.7096774193548,"window","window",0
"356","brodeur",82,"waldo_1",29,93.5483870967742,"window","window",0
"357","brodeur",82,"wanderer",15,48.3870967741936,"window","window",0
"358","brodeur",76,"quest",22,70.9677419354839,"dragonfly","dragonfly",0
"359","brodeur",71,"arrival_2",15,48.3870967741936,"gate","gate",0
"360","brodeur",76,"arrival_1",18,58.0645161290323,"eye","eye",0
"361","brodeur",76,"arrival_4",14,45.1612903225806,"eye","eye",0
"362","brodeur",76,"arrival_5",11,35.4838709677419,"eye","eye",0
"363","brodeur",76,"flowerman",10,32.258064516129,"eye","eye",0
"364","brodeur",76,"return",13,41.9354838709677,"eye","eye",0
"365","brodeur",76,"wanderer",25,80.6451612903226,"eye","eye",0
"366","brodeur",71,"airport",16,51.6129032258064,"flag","flag",0
"367","brodeur",71,"being_a_pirate",23,74.1935483870968,"flag","flag",0
"368","brodeur",71,"wanderer",12,38.7096774193548,"flag","flag",0
"369","brodeur, DR2",100,"escape_from_the_zoo",26,83.8709677419355,"giraffe","giraffe",0
"370","brodeur",100,"arrival_5",16,51.6129032258064,"owl","owl",0
"371","brodeur",81,"ancient_rome",12,38.7096774193548,"hand","hand",0
"372","brodeur",81,"arrival_1",29,93.5483870967742,"hand","hand",0
"373","brodeur",81,"arrival_2",26,83.8709677419355,"hand","hand",0
"374","brodeur",81,"arrival_3",20,64.5161290322581,"hand","hand",0
"375","brodeur",81,"arrival_4",24,77.4193548387097,"hand","hand",0
"376","brodeur",81,"arrival_5",22,70.9677419354839,"hand","hand",0
"377","brodeur",81,"arrival_6",22,70.9677419354839,"hand","hand",0
"378","brodeur",81,"by_the_lake",13,41.9354838709677,"hand","hand",0
"379","brodeur",81,"deep_sea_divers",11,35.4838709677419,"hand","hand",0
"380","brodeur",81,"dinosaurs_spacemen_and_ghouls",15,48.3870967741936,"hand","hand",0
"381","brodeur",81,"flowerman",20,64.5161290322581,"hand","hand",0
"382","brodeur",81,"journey",24,77.4193548387097,"hand","hand",0
"383","brodeur",81,"picture_this",25,80.6451612903226,"hand","hand",0
"384","brodeur",81,"quest",23,74.1935483870968,"hand","hand",0
"385","brodeur",81,"return",24,77.4193548387097,"hand","hand",0
