Word,LgSUBTLCD,Age_Of_Acquisition,NPhon
birdhouse,,,
birdsnest,,,
bottlecap,,,
bowlingball,,,
bowlingpin,,,
bowtie,,,
boxingglove,,,
boxinggloves,,,
brassknuckles,,,
brownsugar,,,
bumpercar,,,
candycane,,,
canopener,,,
cashregister,,,
ceilingfan,,,
cellphone,,,
chainsaw,,,
chefshat,,,
chorizo,,,
christmaslights,,,
christmastree,,,
coffeebeans,,,
coffeemachine,,,
cookiecutter,,,
cruiseship,,,
discoball,,,
dreamcatcher,,,
ducttape,,,
eiffeltower,,,
exitsign,,,
eyepatch,,,
felttippen,,,
fillingcabinet,,,
firehydrant,,,
firetruck,,,
fishingpole,,,
fishingrod,,,
fishtank,,,
footballhelmet,,,
fortunecookie,,,
fountainpen,,,
fryingpan,,,
golfball,,,
granolabar,,,
guitarcase,,,
hairclip,,,
highchair,,,
hockeypuck,,,
hockeystick,,,
hotdog,,,
hulahoop,,,
icecreamcone,,,
ipad,,,
ironingboard,,,
jackhammer,,,
jellybeans,,,
jumprope,,,
kiwifruit,,,
kneepad,,,
laptop,,,
lawnmower,,,
leafblower,,,
licenseplate,,,
lightswitch,,,
magnifyingglass,,,
maracas,,,
measuringcup,,,
measuringtape,,,
mebrulee,,,
mecaramel,,,
mrpotatohead,,,
musicsheet,,,
nailclipper,,,
nailpolish,,,
noparkingsign,,,
nosmokingsign,,,
nunchuks,,,
paintroller,,,
palmtree,,,
paperclip,,,
parkingmeter,,,
partyhat,,,
pencilcase,,,
pencilsharpener,,,
pictureframe,,,
pingpongtable,,,
pirateflag,,,
pokerchips,,,
polarbear,,,
pooltable,,,
popsicle,,,
punchingbag,,,
puzzlepiece,,,
qtip,,,
railroadtracks,,,
rasberry,,,
razorshell,,,
recyclingbin,,,
rockingchair,,,
rollerblade,,,
rollerskate,,,
rollingpin,,,
rubikcube,,,
safetypin,,,
salsa,,,
schoolbus,,,
sewingmachine,,,
shipinabottle,,,
skiboot,,,
snowboard,,,
soccerball,,,
spicerack,,,
spiderweb,,,
spinningtop,,,
stapleremover,,,
steeringwheel,,,
stoplight,,,
tablefootball,,,
taperecorder,,,
teddybear,,,
teepee,,,
tennisball,,,
tennisracket,,,
toiletpaper,,,
toolbox,,,
totempole,,,
toyhorse,,,
toysoldier,,,
tshirt,,,
tv,,,
unicycle,,,
walkietalkie,,,
washingmachine,,,
waterbottle,,,
waterfountain,,,
wateringcan,,,
windshieldwiper,,,
witchhat,,,
yoyo,,,
