"stimuli","lemma","n","percent"
"airport","counter",4,12.9032258064516
"airport","country",7,22.5806451612903
"airport","couple",13,41.9354838709677
"airport","cow",2,6.45161290322581
"airport","crate",4,12.9032258064516
"airport","crates",3,9.67741935483871
"airport","crew",1,3.2258064516129
"airport","crowd",2,6.45161290322581
"airport","custom",1,3.2258064516129
"airport","customer",1,3.2258064516129
"airport","cut",1,3.2258064516129
"airport","cutaway",1,3.2258064516129
"airport","day",5,16.1290322580645
"airport","deboarding",1,3.2258064516129
"airport","deck",4,12.9032258064516
"airport","decker",1,3.2258064516129
"airport","delegation",1,3.2258064516129
"airport","department",1,3.2258064516129
"airport","departure",1,3.2258064516129
"airport","desk",7,22.5806451612903
"airport","device",1,3.2258064516129
"airport","diesel",1,3.2258064516129
"airport","direction",2,6.45161290322581
"airport","dirigible",3,9.67741935483871
"airport","disease",1,3.2258064516129
"airport","disembark",1,3.2258064516129
"airport","distance",2,6.45161290322581
"airport","distinguisher",1,3.2258064516129
"airport","doctor",1,3.2258064516129
"airport","dog",1,3.2258064516129
"airport","door",8,25.8064516129032
"airport","doorway",1,3.2258064516129
"airport","down",1,3.2258064516129
"airport","eagle",1,3.2258064516129
"airport","eat",1,3.2258064516129
"airport","elephant",17,54.8387096774194
"airport","elephants",2,6.45161290322581
"airport","emergency",1,3.2258064516129
"airport","employee",3,9.67741935483871
"airport","end",1,3.2258064516129
"airport","engine",9,29.0322580645161
"airport","england",2,6.45161290322581
"airport","entourage",1,3.2258064516129
"airport","equipment",1,3.2258064516129
"airport","era",2,6.45161290322581
"airport","exit",1,3.2258064516129
"airport","expression",1,3.2258064516129
"airport","face",2,6.45161290322581
"airport","fact",3,9.67741935483871
"airport","fall",1,3.2258064516129
"airport","family",1,3.2258064516129
"airport","farthest",1,3.2258064516129
"airport","fighter",3,9.67741935483871
"airport","figure",1,3.2258064516129
"airport","filing",1,3.2258064516129
"airport","filling",1,3.2258064516129
"airport","fire",26,83.8709677419355
"airport","firefighter",1,3.2258064516129
"airport","fireman",3,9.67741935483871
"airport","firetruck",1,3.2258064516129
"airport","flag",16,51.6129032258064
"airport","flagpole",7,22.5806451612903
"airport","flame",1,3.2258064516129
"airport","flaming",1,3.2258064516129
"airport","flight",10,32.258064516129
"airport","float",1,3.2258064516129
"airport","fly",2,6.45161290322581
"airport","foam",1,3.2258064516129
"airport","folk",4,12.9032258064516
"airport","food",4,12.9032258064516
"airport","foot",2,6.45161290322581
"airport","foreground",5,16.1290322580645
"airport","fork",7,22.5806451612903
"airport","forklift",8,25.8064516129032
"airport","freight",2,6.45161290322581
"airport","front",7,22.5806451612903
"airport","fuel",8,25.8064516129032
"airport","gas",4,12.9032258064516
"airport","gasoline",1,3.2258064516129
"airport","gate",1,3.2258064516129
"airport","germany",1,3.2258064516129
"airport","getaway",1,3.2258064516129
"airport","giant",1,3.2258064516129
"airport","glass",1,3.2258064516129
"airport","gosh",1,3.2258064516129
"airport","graph",1,3.2258064516129
"airport","green",1,3.2258064516129
"airport","greet",1,3.2258064516129
"airport","ground",13,41.9354838709677
"airport","group",4,12.9032258064516
"airport","guard",3,9.67741935483871
"airport","guy",9,29.0322580645161
"airport","h",1,3.2258064516129
"airport","hair",1,3.2258064516129
