"","id","stimuli","n","percent","lemma_dis","lemma_naming","source","agreement","dist","target"
"57",406,"arrival_5",16,51.6129032258064,"bowl","owl","boss",85,0.0833333333333334,"bowl01.jpg"
"58",433,"arrival_5",12,38.7096774193548,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"59",455,"arrival_6",12,38.7096774193548,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"60",457,"arrival_6",20,64.5161290322581,"owl","bowl","brodeur",100,0.0833333333333334,"greathornowl.jpg"
"61",457,"arrival_6",20,64.5161290322581,"bow","bowl","moreno-martinez",99,0.0833333333333334,"bow.jpg"
"62",489,"arrival_6",14,45.1612903225806,"hoe","hole","DR2",92.3076923,0.0833333333333334,"hoe_01_og.jpg"
"63",543,"arrival_6",14,45.1612903225806,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"64",556,"being_a_pirate",28,90.3225806451613,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"65",575,"being_a_pirate",13,41.9354838709677,"seal","sea","brodeur",88,0.0833333333333334,"seal.jpg"
"66",588,"birthday_party_fun",14,45.1612903225806,"boat","bat","moreno-martinez",86,0.0833333333333334,"boat.jpg"
"67",635,"by_the_lake",26,83.8709677419355,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"68",669,"by_the_lake",10,32.258064516129,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"69",680,"campsite",23,74.1935483870968,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"70",717,"deep_sea_divers",28,90.3225806451613,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"71",739,"deep_sea_divers",22,70.9677419354839,"seal","sea","brodeur",88,0.0833333333333334,"seal.jpg"
"72",766,"dinosaurs_spacemen_and_ghouls",11,35.4838709677419,"dice","ice","boss",97,0.0833333333333334,"dice05a.jpg"
"73",766,"dinosaurs_spacemen_and_ghouls",11,35.4838709677419,"rice","ice","boss",92,0.0833333333333334,"rice.jpg"
"74",779,"dinosaurs_spacemen_and_ghouls",12,38.7096774193548,"pipe","pie","brodeur",83,0.0833333333333334,"pipe.jpg"
"75",802,"escape_from_the_zoo",27,87.0967741935484,"ear","bear","moreno-martinez",99,0.0833333333333334,"ear.jpg"
"76",818,"escape_from_the_zoo",30,96.7741935483871,"dice","ice","boss",97,0.0833333333333334,"dice05a.jpg"
"77",818,"escape_from_the_zoo",30,96.7741935483871,"rice","ice","boss",92,0.0833333333333334,"rice.jpg"
"78",848,"exhibit_12",11,35.4838709677419,"cart","art","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"79",848,"exhibit_12",11,35.4838709677419,"dart","art","moreno-martinez",95,0.0833333333333334,"dart.jpg"
"80",886,"flowerman",22,70.9677419354839,"bat","bait","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"81",886,"flowerman",22,70.9677419354839,"bit","bait","moreno-martinez",73,0.0833333333333334,"bit.jpg"
"82",889,"flowerman",23,74.1935483870968,"barn","bar","brodeur",71,0.0833333333333334,"barn.jpg"
"83",889,"flowerman",23,74.1935483870968,"bear","bar","DR2",100,0.0833333333333334,"bear_02_og.jpg"
"84",892,"flowerman",10,32.258064516129,"bowl","bow","boss",85,0.0833333333333334,"bowl01.jpg"
"85",898,"flowerman",26,83.8709677419355,"cart","car","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"86",899,"flowerman",16,51.6129032258064,"cat","cart","brodeur",88,0.0833333333333334,"cat.jpg"
"87",899,"flowerman",16,51.6129032258064,"car","cart","moreno-martinez",93,0.0833333333333334,"car.jpg"
"88",900,"flowerman",13,41.9354838709677,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"89",900,"flowerman",13,41.9354838709677,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
"90",906,"flowerman",12,38.7096774193548,"cat","coat","brodeur",88,0.0833333333333334,"cat.jpg"
"91",924,"flowerman",24,77.4193548387097,"mountain","fountain","moreno-martinez",83,0.0833333333333334,"mountain.jpg"
"92",935,"flowerman",10,32.258064516129,"hoe","home","DR2",92.3076923,0.0833333333333334,"hoe_01_og.jpg"
"93",938,"flowerman",10,32.258064516129,"dice","ice","boss",97,0.0833333333333334,"dice05a.jpg"
"94",938,"flowerman",10,32.258064516129,"rice","ice","boss",92,0.0833333333333334,"rice.jpg"
"95",995,"flowerman",12,38.7096774193548,"tile","tie","boss",91,0.0833333333333334,"?"
"96",995,"flowerman",12,38.7096774193548,"tire","tie","DR2",88.1,0.0833333333333334,"tire_02_og.jpg"
"97",996,"flowerman",23,74.1935483870968,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"98",1032,"journey",29,93.5483870967742,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"99",1041,"journey",28,90.3225806451613,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"100",1041,"journey",28,90.3225806451613,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
"101",1099,"journey",13,41.9354838709677,"fountain","mountain","DR2",100,0.0833333333333334,"fountain_01_og.jpg"
"102",1139,"journey",10,32.258064516129,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"103",1188,"picture_this",15,48.3870967741936,"ear","bear","moreno-martinez",99,0.0833333333333334,"ear.jpg"
"104",1232,"quest",28,90.3225806451613,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"105",1259,"quest",12,38.7096774193548,"ear","gear","moreno-martinez",99,0.0833333333333334,"ear.jpg"
"106",1269,"quest",28,90.3225806451613,"keys","key","brodeur",81,0.0833333333333334,"?"
"107",1283,"quest",26,83.8709677419355,"fountain","mountain","DR2",100,0.0833333333333334,"fountain_01_og.jpg"
"108",1310,"quest",15,48.3870967741936,"seal","sea","brodeur",88,0.0833333333333334,"seal.jpg"
"109",1312,"quest",11,35.4838709677419,"sea","seat","moreno-martinez",93,0.0833333333333334,"sea.jpg"
"110",1331,"quest",13,41.9354838709677,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"111",1360,"return",27,87.0967741935484,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"112",1369,"return",15,48.3870967741936,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"113",1369,"return",15,48.3870967741936,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
"114",1433,"return",12,38.7096774193548,"seal","sea","brodeur",88,0.0833333333333334,"seal.jpg"
"115",1452,"return",12,38.7096774193548,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"116",1491,"unfriendly_giants",10,32.258064516129,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"117",1503,"waldo_1",11,35.4838709677419,"bowl","bow","boss",85,0.0833333333333334,"bowl01.jpg"
"118",1505,"waldo_1",30,96.7741935483871,"cart","car","moreno-martinez",75,0.0833333333333334,"cart.jpg"
