"file","participant","session","stimuli","lemma"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","wizard"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","purple"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","parchment"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","map"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","symbol"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","t-shirt"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","short"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","doorway"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","octopus"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","one"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bit"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","dumbledore"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","cloak"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","beard"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","scene"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","shoulder"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","ages"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","guard"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","spear"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","go"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","wand"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","stick"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","dynamite"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","role"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","purpose"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","boy"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","girl"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","cartridge"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","pouch"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","larger"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","set"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","key"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","speed"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","in"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","side"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","castle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","moat"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","waterfall"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","rock"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","body"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","shield"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","fire"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","cloud"
