"stimuli","lemma","n","percent"
"arrival-4","direction",1,100
"arrival-4","distance",1,100
"arrival-4","dock",1,100
"arrival-4","dog",1,100
"arrival-4","door",1,100
"arrival-4","doorway",1,100
"arrival-4","dragon",1,100
"arrival-4","draw",1,100
"arrival-4","drawer",1,100
"arrival-4","ear",1,100
"arrival-4","ears",1,100
"arrival-4","egg",1,100
"arrival-4","emigrating",1,100
"arrival-4","emperor",1,100
"arrival-4","engine",1,100
"arrival-4","equipment",1,100
"arrival-4","extension",1,100
"arrival-4","eye",1,100
"arrival-4","eyes",1,100
"arrival-4","fact",1,100
"arrival-4","factory",1,100
"arrival-4","father",1,100
"arrival-4","feature",1,100
"arrival-4","finger",1,100
"arrival-4","fire",1,100
"arrival-4","firebox",1,100
"arrival-4","fish",1,100
"arrival-4","flap",1,100
"arrival-4","food",1,100
"arrival-4","foodstuff",1,100
"arrival-4","foot",1,100
"arrival-4","freeway",1,100
"arrival-4","friend",1,100
"arrival-4","funnel",1,100
"arrival-4","gentleman",1,100
"arrival-4","giant",1,100
"arrival-4","girl",1,100
"arrival-4","good",1,100
"arrival-4","greek",1,100
"arrival-4","ground",1,100
"arrival-4","group",1,100
"arrival-4","guy",1,100
"arrival-4","half",1,100
"arrival-4","hand",1,100
"arrival-4","handle",1,100
"arrival-4","hat",1,100
"arrival-4","hatch",1,100
"arrival-4","have",1,100
"arrival-4","head",1,100
"arrival-4","headscarf",1,100
"arrival-4","hole",1,100
"arrival-4","horn",1,100
"arrival-4","huddle",1,100
"arrival-4","hunt",1,100
"arrival-4","idea",1,100
"arrival-4","image",1,100
"arrival-4","inclosure",1,100
"arrival-4","index",1,100
"arrival-4","instruction",1,100
"arrival-4","interest",1,100
"arrival-4","item",1,100
"arrival-4","jacket",1,100
"arrival-4","jimmie",1,100
"arrival-4","john",1,100
"arrival-4","journey",1,100
"arrival-4","king",1,100
"arrival-4","knee",1,100
"arrival-4","ladder",1,100
"arrival-4","land",1,100
"arrival-4","language",1,100
"arrival-4","layout",1,100
"arrival-4","leap",1,100
"arrival-4","leave",1,100
"arrival-4","left",1,100
"arrival-4","leg",1,100
"arrival-4","life",1,100
"arrival-4","line",1,100
"arrival-4","lizard",1,100
"arrival-4","loaf",1,100
"arrival-4","look",1,100
"arrival-4","lot",1,100
"arrival-4","machine",1,100
"arrival-4","mailbox",1,100
"arrival-4","man",1,100
"arrival-4","map",1,100
"arrival-4","matter",1,100
"arrival-4","megaphone",1,100
"arrival-4","member",1,100
"arrival-4","middle",1,100
"arrival-4","milk",1,100
"arrival-4","money",1,100
