"stimuli","lemma","n","percent"
"airport","day",5,15.625
"airport","deboarding",1,3.125
"airport","deck",4,12.5
"airport","decker",1,3.125
"airport","delegation",1,3.125
"airport","department",1,3.125
"airport","departure",1,3.125
"airport","desk",7,21.875
"airport","device",1,3.125
"airport","diesel",1,3.125
"airport","direction",2,6.25
"airport","dirigible",3,9.375
"airport","disease",1,3.125
"airport","disembark",1,3.125
"airport","distance",1,3.125
"airport","distinguisher",1,3.125
"airport","doctor",1,3.125
"airport","dog",1,3.125
"airport","door",7,21.875
"airport","doorway",1,3.125
"airport","down",1,3.125
"airport","eagle",1,3.125
"airport","eat",1,3.125
"airport","elephant",17,53.125
"airport","elephants",2,6.25
"airport","emergency",1,3.125
"airport","employee",3,9.375
"airport","end",1,3.125
"airport","engine",9,28.125
"airport","england",2,6.25
"airport","entourage",1,3.125
"airport","equipment",1,3.125
"airport","era",2,6.25
"airport","exit",1,3.125
"airport","expression",1,3.125
"airport","face",2,6.25
"airport","fact",3,9.375
"airport","fall",1,3.125
"airport","family",1,3.125
"airport","farthest",1,3.125
"airport","fighter",3,9.375
"airport","figure",1,3.125
"airport","filling",1,3.125
"airport","fire",26,81.25
"airport","firefighter",1,3.125
"airport","fireman",2,6.25
"airport","firetruck",1,3.125
"airport","flag",15,46.875
"airport","flagpole",8,25
"airport","flame",1,3.125
"airport","flaming",1,3.125
"airport","flight",10,31.25
"airport","float",1,3.125
"airport","fly",2,6.25
"airport","foam",1,3.125
"airport","folk",5,15.625
"airport","food",4,12.5
"airport","foot",2,6.25
"airport","foreground",5,15.625
"airport","fork",7,21.875
"airport","forklift",8,25
"airport","freight",2,6.25
"airport","front",6,18.75
"airport","fuel",8,25
"airport","gas",4,12.5
"airport","gasoline",1,3.125
"airport","gate",1,3.125
"airport","germany",1,3.125
"airport","getaway",1,3.125
"airport","giant",1,3.125
"airport","glass",1,3.125
"airport","gosh",1,3.125
"airport","graph",1,3.125
"airport","green",1,3.125
"airport","greet",1,3.125
"airport","ground",12,37.5
"airport","group",4,12.5
"airport","guard",3,9.375
"airport","guy",9,28.125
"airport","h",1,3.125
"airport","hair",1,3.125
"airport","half",2,6.25
"airport","hand",4,12.5
"airport","handler",4,12.5
"airport","hat",4,12.5
"airport","hatch",1,3.125
"airport","head",2,6.25
"airport","helicopter",18,56.25
"airport","hell",1,3.125
"airport","help",1,3.125
"airport","herd",5,15.625
"airport","highway",1,3.125
"airport","hijacker",1,3.125
"airport","hinge",1,3.125
"airport","hip",1,3.125
"airport","history",1,3.125
"airport","hmm",1,3.125
"airport","hockey",1,3.125
"airport","hold",2,6.25
"airport","horizontal",1,3.125
"airport","hose",11,34.375
"airport","household",1,3.125
"airport","hurt",1,3.125
"airport","hydrant",1,3.125
"airport","idea",3,9.375
"airport","image",2,6.25
"airport","information",1,3.125
"airport","inside",7,21.875
"airport","instruction",1,3.125
"airport","interior",2,6.25
"airport","into",1,3.125
"airport","item",3,9.375
"airport","jack",1,3.125
"airport","jacket",2,6.25
"airport","jet",13,40.625
"airport","jets",1,3.125
"airport","job",1,3.125
"airport","jumbo",8,25
"airport","jumpsuit",1,3.125
"airport","kid",2,6.25
"airport","kind",14,43.75
"airport","knee",1,3.125
"airport","knife",5,15.625
"airport","knight",1,3.125
"airport","lacrosse",1,3.125
"airport","lady",1,3.125
"airport","leave",1,3.125
"airport","left",6,18.75
"airport","level",1,3.125
"airport","lift",4,12.5
"airport","light",1,3.125
"airport","lime",1,3.125
"airport","line",14,43.75
"airport","lining",1,3.125
"airport","loa",1,3.125
"airport","load",4,12.5
"airport","loading",1,3.125
"airport","look",2,6.25
"airport","lord",1,3.125
"airport","lot",17,53.125
"airport","luggage",27,84.375
"airport","man",16,50
"airport","mayhem",1,3.125
"airport","member",1,3.125
"airport","mess",1,3.125
"airport","middle",5,15.625
"airport","mint",1,3.125
"airport","mismatch",1,3.125
"airport","morne",2,6.25
"airport","morning",2,6.25
"airport","motion",1,3.125
"airport","motor",1,3.125
"airport","mover",2,6.25
"airport","name",2,6.25
"airport","newspaper",2,6.25
"airport","no",1,3.125
"airport","nose",8,25
"airport","note",1,3.125
"airport","number",2,6.25
"airport","observation",4,12.5
"airport","office",1,3.125
"airport","officer",2,6.25
"airport","official",1,3.125
"airport","oh",2,6.25
"airport","ohh",2,6.25
"airport","oil",1,3.125
"airport","one",13,40.625
"airport","opening",1,3.125
"airport","order",1,3.125
"airport","original",1,3.125
"airport","ouch",1,3.125
"airport","outfit",1,3.125
"airport","outfits",1,3.125
"airport","outside",1,3.125
"airport","owner",1,3.125
"airport","package",1,3.125
"airport","page",7,21.875
"airport","pain",1,3.125
"airport","pallet",1,3.125
"airport","panels",1,3.125
"airport","pants",1,3.125
"airport","paper",3,9.375
"airport","parable",1,3.125
"airport","part",6,18.75
"airport","passenger",5,15.625
"airport","passengers",6,18.75
"airport","passport",1,3.125
"airport","pathway",1,3.125
"airport","peace",1,3.125
"airport","pedestrian",1,3.125
"airport","people",30,93.75
"airport","person",9,28.125
"airport","photo",2,6.25
"airport","pickup",1,3.125
"airport","picture",8,25
"airport","piece",1,3.125
"airport","pilot",8,25
"airport","pink",1,3.125
"airport","pinkish",1,3.125
"airport","place",6,18.75
"airport","plane",29,90.625
"airport","plate",2,6.25
"airport","player",1,3.125
"airport","playing",1,3.125
"airport","plenty",1,3.125
"airport","point",2,6.25
"airport","pointy",1,3.125
"airport","pole",1,3.125
"airport","police",3,9.375
"airport","policeman",3,9.375
"airport","pool",1,3.125
"airport","postage",1,3.125
"airport","postcard",4,12.5
"airport","postmark",1,3.125
"airport","power",1,3.125
"airport","problem",1,3.125
"airport","propeller",2,6.25
"airport","pun",1,3.125
"airport","purpose",1,3.125
"airport","purse",1,3.125
"airport","quarter",1,3.125
"airport","question",1,3.125
"airport","rac",1,3.125
"airport","race",1,3.125
"airport","rack",1,3.125
"airport","radio",1,3.125
"airport","ramp",4,12.5
"airport","random",1,3.125
"airport","read",1,3.125
"airport","reality",1,3.125
"airport","rear",1,3.125
"airport","reason",2,6.25
"airport","rectangular",1,3.125
"airport","refuel",1,3.125
"airport","rescue",1,3.125
"airport","rest",1,3.125
"airport","rhythm",1,3.125
"airport","right",5,15.625
"airport","ring",1,3.125
"airport","rocket",12,37.5
