"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","aoa","lf","LgSUBTLCD2","Age_Of_Acquisition2"
"cheetah","1.544",8.16,4,"NA",NA,"8.16",1.54406804435028,"1.544","8.16"
"cherries","1.903",5.58,5,"NA",NA,NA,1.90308998699194,"1.903","5.58"
"cherry","2.5779999999999998",5.58,4,"NA",NA,"5.58",2.57749179983723,"2.5779999999999998","5.58"
"chestnut","1.708",6.55,6,"NA",NA,"6.55",1.70757017609794,"1.708","6.55"
"chicken","3.1960000000000002",3.26,5,"NA",NA,"3.26",3.19617618503997,"3.1960000000000002","3.26"
"chimney","2.1459999999999999",6.58,5,"NA",NA,"6.58",2.14612803567824,"2.1459999999999999","6.58"
"chopsticks","1.8260000000000001",NA,8,"NA",NA,"7.8544530000000004",1.82607480270083,"1.8260000000000001","7.8544530000000004"
"church","3.1269999999999998",5.15,3,"NA",NA,"5.15",3.1274287778516,"3.1269999999999998","5.15"
"cigar","2.589",7.67,5,"NA",NA,"7.67",2.58883172559421,"2.589","7.67"
"cigarette","2.9350000000000001",6.39,7,"NA",NA,"6.39",2.93500315145365,"2.9350000000000001","6.39"
"city","3.5209999999999999",6.56,4,"NA",NA,"6.56",3.52139962811538,"3.5209999999999999","6.56"
"clipboard","1.431",7.76,8,"NA",NA,"7.76",1.43136376415899,"1.431","7.76"
"clock","3.2149999999999999",4.42,4,"NA",NA,"4.42",3.2148438480477,"3.2149999999999999","4.42"
"clog","1.462",9.39,4,"NA",NA,"9.39",1.46239799789896,"1.462","9.39"
"clothespin","0.95399999999999996",7.83,7,"NA",NA,"7.83",0.954242509439325,"0.95399999999999996","7.83"
"cloud","2.59",3.63,4,"NA",NA,"3.63",2.58994960132571,"2.59","3.63"
"coat","3.105",3.58,3,"NA",NA,"3.58",3.10482840365366,"3.105","3.58"
"coconut","2.149",6.5,7,"NA",NA,"6.5",2.14921911265538,"2.149","6.5"
"comb","2.3460000000000001",5.5,3,"NA",NA,"5.5",2.34635297445064,"2.3460000000000001","5.5"
"compass","2.097",8.44,6,"NA",NA,"8.44",2.09691001300806,"2.097","8.44"
"compasses","0.77800000000000002",NA,8,"NA",NA,NA,0.778151250383644,"0.77800000000000002",NA
"condom","2.2480000000000002",12,6,"NA",NA,"12",2.24797326636181,"2.2480000000000002","12"
"cookie","2.6520000000000001",3.37,4,"NA",NA,"3.37",2.65224634100332,"2.6520000000000001","3.37"
"cork","2.0680000000000001",9.05,4,"NA",NA,"9.0500000000000007",2.06818586174616,"2.0680000000000001","9.05"
"corkscrew","1.653",7.78,8,"NA",NA,"7.78",1.65321251377534,"1.653","7.78"
"couch","2.899",3.74,3,"NA",NA,"3.74",2.8992731873176,"2.899","3.74"
"cow","2.863",3.94,2,"NA",NA,"3.94",2.86272752831797,"2.863","3.94"
"crab","2.2759999999999998",5.28,4,"NA",NA,"5.28",2.27646180417324,"2.2759999999999998","5.28"
"cracker","2.3079999999999998",4.9,5,"NA",NA,NA,2.30749603791321,"2.3079999999999998","4.9"
"crackers","2.2360000000000002",4.9,6,"NA",NA,"4.9000000000000004",2.23552844690755,"2.2360000000000002","4.9"
"crayon","1.3220000000000001",3.2,5,"NA",NA,"3.2",1.32221929473392,"1.3220000000000001","3.2"
"crib","2.3279999999999998",6.05,4,"NA",NA,"6.05",2.32837960343874,"2.3279999999999998","6.05"
"crocodile","1.851",5.11,8,"NA",NA,"5.1100000000000003",1.85125834871908,"1.851","5.11"
"croissant","1.591",10.15,7,"NA",NA,"10.15",1.5910646070265,"1.591","10.15"
"cross","3.2309999999999999",4.74,4,"NA",NA,"4.74",3.23070431361257,"3.2309999999999999","4.74"
"crown","2.5609999999999999",7.8,4,"NA",NA,"7.8",2.56110138364906,"2.5609999999999999","7.8"
"cucumber","1.863",5.72,8,"NA",NA,"5.72",1.86332286012046,"1.863","5.72"
"cufflinks","1.1140000000000001",9.84,8,"NA",NA,NA,1.11394335230684,"1.1140000000000001","9.84"
"cup","3.1949999999999998",3.57,3,"NA",NA,"3.57",3.19506899646859,"3.1949999999999998","3.57"
"cupcake","2.004",4.11,6,"NA",NA,"4.1100000000000003",2.00432137378264,"2.004","4.11"
"curtain","2.5209999999999999",4.95,4,"NA",NA,NA,2.52113808370404,"2.5209999999999999","4.95"
"cymbals","1.2549999999999999",NA,6,"NA",NA,"8.1293199999999999",1.25527250510331,"1.2549999999999999","8.1293199999999999"
"daisy","2.2530000000000001",5.55,4,"NA",NA,"5.5503260000000001",2.25285303097989,"2.2530000000000001","5.55"
"dalmatian","1.3009999999999999",6.06,7,"NA",NA,"6.06",1.30102999566398,"1.3009999999999999","6.06"
"dart","1.857",7.38,4,"NA",NA,"7.38",1.85733249643127,"1.857","7.38"
"dartboard","0.77800000000000002",8.44,8,"NA",NA,"8.44",0.778151250383644,"0.77800000000000002","8.44"
"deer","2.391",5.17,3,"NA",NA,"5.17",2.39093510710338,"2.391","5.17"
"dentist","2.4700000000000002",5.22,7,"NA",NA,"5.22",2.46982201597816,"2.4700000000000002","5.22"
"deodorant","1.869",8.83,8,"NA",NA,"8.83",1.86923171973098,"1.869","8.83"
"diamond","2.6760000000000002",6.47,6,"NA",NA,"6.47",2.67577834167409,"2.6760000000000002","6.47"
"diaper","2.2069999999999999",3.4,4,"NA",NA,"3.4",2.20682587603185,"2.2069999999999999","3.4"
"dice","2.4710000000000001",6.37,3,"NA",NA,"6.37",2.47129171105894,"2.4710000000000001","6.37"
"doghouse","1.6719999999999999",6.74,6,"NA",NA,"6.74",1.67209785793572,"1.6719999999999999","6.74"
"doll","2.8119999999999998",3.68,3,"NA",NA,"3.68",2.81224469680037,"2.8119999999999998","3.68"
"dolphin","1.863",6.05,6,"NA",NA,"6.05",1.86332286012046,"1.863","6.05"
"donkey","2.2120000000000002",6,5,"NA",NA,"6",2.21218760440396,"2.2120000000000002","6"
"doughnut","2.2120000000000002",5.42,5,"NA",NA,"5.42",2.21218760440396,"2.2120000000000002","5.42"
"dragonfly","1.716",6.8,9,"NA",NA,"6.8",1.7160033436348,"1.716","6.8"
"drawer","2.6659999999999999",5.37,4,"NA",NA,"5.37",2.66558099101795,"2.6659999999999999","5.37"
"dress","3.34",4.05,4,"NA",NA,"4.05",3.33984878303764,"3.34","4.05"
"dresser","2.2040000000000002",4.28,5,"NA",NA,"4.28",2.20411998265592,"2.2040000000000002","4.28"
"drill","2.669",7.14,4,"NA",NA,"7.14",2.66931688056611,"2.669","7.14"
"dropper","0.95399999999999996",8.56,5,"NA",NA,"8.56",0.954242509439325,"0.95399999999999996","8.56"
"drum","2.4329999999999998",4.63,4,"NA",NA,"4.63",2.43296929087441,"2.4329999999999998","4.63"
"drumsticks","1.1759999999999999",NA,9,"NA",NA,NA,1.17609125905568,"1.1759999999999999",NA
"duck","2.8479999999999999",3.5,3,"NA",NA,"3.5",2.84757265914211,"2.8479999999999999","3.5"
"dustpan","1.0409999999999999",6.47,6,"NA",NA,"6.47",1.04139268515823,"1.0409999999999999","6.47"
"eagle","2.4470000000000001",5.83,3,"NA",NA,"5.83",2.44715803134222,"2.4470000000000001","5.83"
"ear","3.044",3.63,2,"NA",NA,"3.63",3.04414762087872,"3.044","3.63"
"earring","1.982",7.17,5,"NA",NA,"7.17",1.98227123303957,"1.982","7.17"
"earrings","2.2949999999999999",7.17,6,"NA",NA,NA,2.29446622616159,"2.2949999999999999","7.17"
"egg","2.8610000000000002",3.89,2,"NA",NA,"3.89",2.86153441085904,"2.8610000000000002","3.89"
"eggplant","1.623",8.3,7,"NA",NA,"8.3000000000000007",1.6232492903979,"1.623","8.3"
"elbow","2.3980000000000001",4.78,4,"NA",NA,"4.78",2.39794000867204,"2.3980000000000001","4.78"
"elephant","2.4980000000000002",4.8,7,"NA",NA,"4.8",2.4983105537896,"2.4980000000000002","4.8"
"envelope","2.5139999999999998",6.25,7,"NA",NA,"6.25",2.51454775266029,"2.5139999999999998","6.25"
"eraser","1.462",4.95,5,"NA",NA,"4.95",1.46239799789896,"1.462","4.95"
"escalator","1.69",7.11,8,"NA",NA,"7.11",1.69019608002851,"1.69","7.11"
"eye","3.5070000000000001",3.75,1,"NA",NA,"3.75",3.50745106090197,"3.5070000000000001","3.75"
"fan","3.0409999999999999",5.63,3,"NA",NA,"5.63",3.04060234011407,"3.0409999999999999","5.63"
"feather","2.3650000000000002",4.67,4,"NA",NA,"4.67",2.3654879848909,"2.3650000000000002","4.67"
"fence","2.7429999999999999",6.28,4,"NA",NA,"6.28",2.7427251313047,"2.7429999999999999","6.28"
"fig","1.663",8.06,3,"NA",NA,"8.06",1.66275783168157,"1.663","8.06"
"finger","3.11",3.43,5,"NA",NA,"3.43",3.10991586302379,"3.11","3.43"
"fingerprint","2.0449999999999999",7.56,10,"NA",NA,"7.56",2.04532297878666,"2.0449999999999999","7.56"
"fireplace","2.2789999999999999",7.37,7,"NA",NA,"7.37",2.27875360095283,"2.2789999999999999","7.37"
"fish","3.2330000000000001",4.05,3,"NA",NA,"4.05",3.23274206272074,"3.2330000000000001","4.05"
"flag","2.6970000000000001",5.33,4,"NA",NA,"5.33",2.69722934275972,"2.6970000000000001","5.33"
"flamingo","1.6020000000000001",6.32,8,"NA",NA,"6.32",1.60205999132796,"1.6020000000000001","6.32"
"flashlight","2.3239999999999998",5.61,7,"NA",NA,"5.61",2.32428245529769,"2.3239999999999998","5.61"
"floor","3.4369999999999998",4.44,4,"NA",NA,"4.4400000000000004",3.43663963169266,"3.4369999999999998","4.44"
"fly","3.3260000000000001",3.05,3,"NA",NA,"3.05",3.32592595577147,"3.3260000000000001","3.05"
"flyswatter","0.47699999999999998",5.79,8,"NA",NA,"5.79",0.477121254719662,"0.47699999999999998","5.79"
"folder","1.792",8.21,5,"NA",NA,"8.2100000000000009",1.79239168949825,"1.792","8.21"
"fondue","1.431",10.78,5,"NA",NA,"10.78",1.43136376415899,"1.431","10.78"
"football","2.907",4.84,6,"NA",NA,"4.84",2.90687353472207,"2.907","4.84"
"fork","2.5009999999999999",3.63,4,"NA",NA,"3.63",2.50105926221775,"2.5009999999999999","3.63"
"fountain","2.3769999999999998",7.17,5,"NA",NA,"7.17",2.37657695705651,"2.3769999999999998","7.17"
"fox","2.613",5.017,4,"NA",NA,"5.0174760000000003",2.61278385671974,"2.613","5.017"
"fridge","2.5939999999999999",4.67,4,"NA",NA,"4.67",2.59439255037543,"2.5939999999999999","4.67"
"frisbee","1.7709999999999999",5.5,6,"NA",NA,"5.5",1.77085201164214,"1.7709999999999999","5.5"
"fritter","1.1759999999999999",13,5,"NA",NA,"13",1.17609125905568,"1.1759999999999999","13"
"funnel","1.6719999999999999",8.44,4,"NA",NA,"8.44",1.67209785793572,"1.6719999999999999","8.44"
"garlic","2.286",6.89,6,"NA",NA,"6.89",2.28555730900777,"2.286","6.89"
