"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","aoa","lf","LgSUBTLCD2","Age_Of_Acquisition2"
"waiter","2.6379999999999999",8.28,4,"NA",NA,"8.2799999999999994",2.63748972951251,"2.6379999999999999","8.28"
"wallet","2.839",5.89,5,"NA",NA,"5.89",2.83884909073726,"2.839","5.89"
"walnut","1.7709999999999999",6.16,6,"NA",NA,"6.16",1.77085201164214,"1.7709999999999999","6.16"
"walrus","1.613",5.06,6,"NA",NA,"5.0599999999999996",1.61278385671974,"1.613","5.06"
"wasp","1.643",5.58,4,"NA",NA,"5.58",1.64345267648619,"1.643","5.58"
"watch","3.77",4.33,3,"NA",NA,"4.33",3.76959884838745,"3.77","4.33"
"waterfall","1.833",5.47,7,"NA",NA,"5.47",1.83250891270624,"1.833","5.47"
"watermelon","1.839",4.22,9,"NA",NA,"4.22",1.83884909073726,"1.839","4.22"
"wave","2.8330000000000002",4.26,3,"NA",NA,"4.26",2.83314711191279,"2.8330000000000002","4.26"
"well","3.911",6.158,3,"NA",NA,"6.1577750000000009",3.91099771631064,"3.911","6.158"
"wheat","2.31",6.53,4,"NA",NA,"6.53",2.3096301674259,"2.31","6.53"
"wheel","2.93",4.4,4,"NA",NA,"4.4000000000000004",2.9304395947667,"2.93","4.4"
"wheelbarrow","1.38",6.78,8,"NA",NA,"6.78",1.38021124171161,"1.38","6.78"
"wheelchair","2.3370000000000002",6.89,7,"NA",NA,"6.89",2.33645973384853,"2.3370000000000002","6.89"
"whisk","1.4770000000000001",8.72,5,"NA",NA,"8.7200000000000006",1.47712125471966,"1.4770000000000001","8.72"
"window","3.3879999999999999",4.74,5,"NA",NA,"4.74",3.38792346697344,"3.3879999999999999","4.74"
"wine","3.1819999999999999",7.9,3,"NA",NA,"7.9",3.18155777386279,"3.1819999999999999","7.9"
"wolf","2.5760000000000001",4.5,4,"NA",NA,"4.5",2.57634135020579,"2.5760000000000001","4.5"
"worm","2.4350000000000001",3.89,3,"NA",NA,"3.89",2.4345689040342,"2.4350000000000001","3.89"
"wrench","2.1070000000000002",7.84,4,"NA",NA,"7.84",2.10720996964787,"2.1070000000000002","7.84"
"xylophone","0.90300000000000002",7.11,7,"NA",NA,"7.11",0.903089986991944,"0.90300000000000002","7.11"
"zebra","1.7709999999999999",4.79,5,"NA",NA,"4.79",1.77085201164214,"1.7709999999999999","4.79"
"zipper","2.0750000000000002",5,4,"NA",NA,"5",2.07554696139253,"2.0750000000000002","5"
"zucchini","1.3420000000000001",6.79,6,"NA",NA,"6.79",1.34242268082221,"1.3420000000000001","6.79"
"accordion","1.6719999999999999",8.61,8,"NA",NA,"8.61",1.67209785793572,"1.6719999999999999","8.61"
"chest","3.0710000000000002",5.05,4,"NA",NA,"5.05",3.07114529045108,"3.0710000000000002","5.05"
"flower","2.7989999999999999",3.11,4,"NA",NA,"3.11",2.79934054945358,"2.7989999999999999","3.11"
"giraffe","1.7629999999999999",5,5,"NA",NA,"5",1.76342799356294,"1.7629999999999999","5"
"lemon","2.5379999999999998",4.74,5,"NA",NA,"4.74",2.53781909507327,"2.5379999999999998","4.74"
"mailbox","2.2010000000000001",6.11,7,"NA",NA,"6.11",2.20139712432045,"2.2010000000000001","6.11"
"onion","2.1850000000000001",6.05,5,"NA",NA,"6.05",2.1846914308176,"2.1850000000000001","6.05"
"skateboard","1.7849999999999999",6.94,8,"NA",NA,"6.94",1.78532983501077,"1.7849999999999999","6.94"
"stool","2.1960000000000002",6.21,4,"NA",NA,"6.21",2.19589965240923,"2.1960000000000002","6.21"
"tomato","2.31",4.61,6,"NA",NA,"4.6100000000000003",2.3096301674259,"2.31","4.61"
"toothbrush","2.286",4.33,7,"NA",NA,"4.33",2.28555730900777,"2.286","4.33"
"umbrella","2.3220000000000001",5.68,7,"NA",NA,"5.68",2.32221929473392,"2.3220000000000001","5.68"
"windmill","1.6020000000000001",5.32,7,"NA",NA,"5.32",1.60205999132796,"1.6020000000000001","5.32"
"airhockeytable",NA,NA,10,"WSE",NA,NA,NA,NA,NA
"badmintonracket",NA,NA,14,"AH",NA,NA,NA,NA,NA
"bagel",NA,NA,5,"AH",NA,"8.9",1.9731278535997,"1.9731278535997","8.9"
"bandaid",NA,NA,6,"AH",NA,"4.6018530000000011",NA,NA,"4.6018530000000011"
"baseballbat",NA,NA,9,"AH",NA,NA,NA,NA,NA
"bedsidetable",NA,NA,10,"AH",NA,NA,NA,NA,NA
"beerbottle",NA,NA,7,"AH",NA,NA,NA,NA,NA
"birdfeeder",NA,NA,7,"AH",NA,NA,NA,NA,NA
"birdhouse",NA,NA,6,"AH",NA,"5.43",1.07918124604762,"1.07918124604762","5.43"
"birdsnest",NA,NA,8,"AH",NA,NA,NA,NA,NA
"bottlecap",NA,NA,7,"AH",NA,NA,NA,NA,NA
"bowlingball",NA,NA,8,"AH",NA,NA,NA,NA,NA
"bowlingpin",NA,NA,8,"AH",NA,NA,NA,NA,NA
"bowtie",NA,NA,4,"AH",NA,"7.94",0.845098040014257,"0.845098040014257","7.94"
"boxingglove",NA,NA,10,"AH",NA,NA,NA,NA,NA
"boxinggloves",NA,NA,11,"AH",NA,"7.8309240000000013",NA,NA,"7.8309240000000013"
"brassknuckles",NA,NA,9,"AH",NA,NA,NA,NA,NA
"brownsugar",NA,NA,8,"AH",NA,NA,NA,NA,NA
"bumpercar",NA,NA,8,"AH",NA,NA,NA,NA,NA
"candycane",NA,NA,8,"AH",NA,NA,NA,NA,NA
"canopener",NA,NA,8,"AH",NA,"6.9570500000000006",NA,NA,"6.9570500000000006"
"cashregister",NA,NA,10,"AH",NA,NA,NA,NA,NA
"ceilingfan",NA,NA,8,"AH",NA,NA,NA,NA,NA
"cellphone",NA,NA,6,"AH",NA,"14.669556",2.00432137378264,"2.00432137378264","14.669556"
"chainsaw",NA,NA,5,"AH",NA,"7",1.49136169383427,"1.49136169383427","7"
"chefshat",NA,NA,7,"AH",NA,NA,NA,NA,NA
"chorizo",NA,NA,6,"AH",NA,"13.46",0.698970004336019,"0.698970004336019","13.46"
"christmaslights",NA,NA,11,"AH",NA,NA,NA,NA,NA
"christmastree",NA,NA,10,"AH",NA,"4.1436020000000005",NA,NA,"4.1436020000000005"
"coffeebeans",NA,NA,8,"AH",NA,NA,NA,NA,NA
"coffeemachine",NA,NA,9,"AH",NA,NA,NA,NA,NA
"cookiecutter",NA,NA,8,"AH",NA,NA,NA,NA,NA
"cruiseship",NA,NA,7,"AH",NA,NA,NA,NA,NA
"discoball",NA,NA,8,"AH",NA,NA,NA,NA,NA
"dreamcatcher",NA,NA,8,"AH",NA,NA,NA,NA,NA
"ducttape",NA,NA,7,"AH",NA,NA,NA,NA,NA
"eiffeltower",NA,NA,7,"AH",NA,NA,NA,NA,NA
"exitsign",NA,NA,8,"AH",NA,NA,NA,NA,NA
"eyepatch",NA,NA,4,"AH",NA,NA,NA,NA,NA
"felttippen",NA,NA,10,"AH",NA,NA,NA,NA,NA
"fillingcabinet",NA,NA,12,"AH",NA,NA,NA,NA,NA
"firehydrant",NA,NA,10,"AH",NA,"5.3585000000000003",NA,NA,"5.3585000000000003"
"firetruck",NA,NA,7,"AH",NA,"3.6853510000000003",0.301029995663981,"0.301029995663981","3.6853510000000003"
"fishingpole",NA,NA,8,"AH",NA,"6.1790890000000003",NA,NA,"6.1790890000000003"
"fishingrod",NA,NA,8,"AH",NA,"7.6390980000000006",NA,NA,"7.6390980000000006"
"fishtank",NA,NA,7,"AH",NA,"5.9446350000000008",NA,NA,"5.9446350000000008"
"footballhelmet",NA,NA,12,"AH",NA,NA,NA,NA,NA
"fortunecookie",NA,NA,10,"AH",NA,NA,NA,NA,NA
"fountainpen",NA,NA,8,"AH",NA,NA,NA,NA,NA
"fryingpan",NA,NA,8,"AH",NA,"6.8078520000000013",NA,NA,"6.8078520000000013"
"golfball",NA,NA,7,"AH",NA,NA,NA,NA,NA
"granolabar",NA,NA,10,"AH",NA,NA,NA,NA,NA
"guitarcase",NA,NA,8,"AH",NA,NA,NA,NA,NA
"hairclip",NA,NA,7,"AH",NA,NA,NA,NA,NA
"highchair",NA,NA,5,"AH",NA,"3.79",0.778151250383644,"0.778151250383644","3.79"
"hockeypuck",NA,NA,7,"AH",NA,NA,NA,NA,NA
"hockeystick",NA,NA,8,"AH",NA,NA,NA,NA,NA
"hotdog",NA,NA,6,"AH",NA,"4.55",1.20411998265592,"1.20411998265592","4.55"
"hulahoop",NA,NA,7,"WSE",NA,NA,NA,NA,NA
"icecreamcone",NA,NA,9,"AH",NA,NA,NA,NA,NA
"ipad",NA,NA,4,"AH",NA,NA,NA,NA,NA
"ironingboard",NA,NA,9,"AH",NA,"6.5840550000000011",NA,NA,"6.5840550000000011"
"jackhammer",NA,NA,7,"AH",NA,"8.1",1.36172783601759,"1.36172783601759","8.1"
"jellybeans",NA,NA,8,"AH",NA,NA,1.07918124604762,"1.07918124604762",NA
"jumprope",NA,NA,7,"AH",NA,"5.7954370000000006",NA,NA,"5.7954370000000006"
"kiwifruit",NA,NA,8,"AH",NA,NA,NA,NA,NA
"kneepad",NA,NA,5,"AH",NA,"8.06",0.301029995663981,"0.301029995663981","8.06"
"laptop",NA,NA,6,"AH",NA,"12.44",2.12710479836481,"2.12710479836481","12.44"
"lawnmower",NA,NA,6,"AH",NA,"6.11",1.38021124171161,"1.38021124171161","6.11"
"leafblower",NA,NA,7,"AH",NA,NA,NA,NA,NA
"licenseplate",NA,NA,9,"AH",NA,NA,NA,NA,NA
"lightswitch",NA,NA,7,"AH",NA,"5.9446350000000008",NA,NA,"5.9446350000000008"
"magnifyingglass",NA,NA,13,"AH",NA,NA,NA,NA,NA
"maracas",NA,NA,7,"AH",NA,NA,0.903089986991944,"0.903089986991944",NA
"measuringcup",NA,NA,9,"AH",NA,NA,NA,NA,NA
"measuringtape",NA,NA,9,"AH",NA,NA,NA,NA,NA
"cremebrulee",NA,NA,9,"AH",NA,NA,NA,NA,NA
"cremecaramel",NA,NA,10,"AH",NA,NA,NA,NA,NA
"mrpotatohead",NA,NA,14,"WSE",NA,NA,NA,NA,NA
"musicsheet",NA,NA,9,"AH",NA,NA,NA,NA,NA
"nailclipper",NA,NA,8,"AH",NA,NA,NA,NA,NA
"nailpolish",NA,NA,8,"AH",NA,NA,NA,NA,NA
"noparkingsign",NA,NA,11,"AH",NA,NA,NA,NA,NA
"nosmokingsign",NA,NA,11,"AH",NA,NA,NA,NA,NA
"nunchuks",NA,NA,7,"AH",NA,NA,NA,NA,NA
"paintroller",NA,NA,8,"AH",NA,NA,NA,NA,NA
"palmtree",NA,NA,7,"AH",NA,"7.4366150000000006",NA,NA,"7.4366150000000006"
"paperclip",NA,NA,8,"AH",NA,"6.42",0.477121254719662,"0.477121254719662","6.42"
"parkingmeter",NA,NA,10,"AH",NA,NA,NA,NA,NA
"partyhat",NA,NA,8,"AH",NA,NA,NA,NA,NA
"pencilcase",NA,NA,8,"AH",NA,NA,NA,NA,NA
"pencilsharpener",NA,NA,12,"AH",NA,"5.3052150000000005",NA,NA,"5.3052150000000005"
"pictureframe",NA,NA,9,"AH",NA,NA,NA,NA,NA
"pingpongtable",NA,NA,10,"AH",NA,NA,NA,NA,NA
"pirateflag",NA,NA,9,"AH",NA,NA,NA,NA,NA
"pokerchips",NA,NA,8,"AH",NA,NA,NA,NA,NA
"polarbear",NA,NA,7,"AH",NA,NA,NA,NA,NA
"pooltable",NA,NA,7,"AH",NA,"7.6497550000000016",NA,NA,"7.6497550000000016"
"popsicle",NA,NA,8,"AH",NA,"3.78",1.77085201164214,"1.77085201164214","3.78"
"punchingbag",NA,NA,9,"AH",NA,"7.9161800000000015",NA,NA,"7.9161800000000015"
"puzzlepiece",NA,NA,7,"AH",NA,NA,NA,NA,NA
"qtip",NA,NA,6,"AH",NA,NA,NA,NA,NA
"railroadtracks",NA,NA,11,"AH",NA,"7.052963000000001",NA,NA,"7.052963000000001"
"raspberry",NA,NA,7,"AH",NA,NA,1.85733249643127,"1.85733249643127",NA
"razorshell",NA,NA,7,"AH",NA,NA,NA,NA,NA
"recyclingbin",NA,NA,11,"AH",NA,NA,NA,NA,NA
"rockingchair",NA,NA,8,"AH",NA,"5.7847800000000014",NA,NA,"5.7847800000000014"
"rollerblade",NA,NA,8,"AH",NA,"10.8",NA,NA,"10.8"
"rollerskate",NA,NA,8,"AH",NA,"6.3176300000000012",NA,NA,"6.3176300000000012"
"rollingpin",NA,NA,8,"AH",NA,"7.5964700000000009",NA,NA,"7.5964700000000009"
"rubikscube",NA,NA,10,"AH",NA,NA,NA,NA,NA
"safetypin",NA,NA,8,"AH",NA,"6.5307700000000004",NA,NA,"6.5307700000000004"
"salsa",NA,NA,5,"AH",NA,"9.7799999999999994",1.84509804001426,"1.84509804001426","9.7799999999999994"
"schoolbus",NA,NA,7,"AH",NA,NA,NA,NA,NA
"sewingmachine",NA,NA,9,"AH",NA,"5.7101810000000004",NA,NA,"5.7101810000000004"
"shipinabottle",NA,NA,10,"WSE",NA,NA,NA,NA,NA
"skiboot",NA,NA,6,"AH",NA,NA,NA,NA,NA
"snowboard",NA,NA,7,"AH",NA,"11.14",1.30102999566398,"1.30102999566398","11.14"
"soccerball",NA,NA,7,"AH",NA,NA,NA,NA,NA
"spicerack",NA,NA,7,"AH",NA,NA,NA,NA,NA
"spiderweb",NA,NA,8,"AH",NA,"4.9002490000000014",0.698970004336019,"0.698970004336019","4.9002490000000014"
"spinningtop",NA,NA,9,"AH",NA,NA,NA,NA,NA
"stapleremover",NA,NA,11,"AH",NA,NA,NA,NA,NA
"steeringwheel",NA,NA,10,"AH",NA,"5.411785000000001",NA,NA,"5.411785000000001"
"stoplight",NA,NA,7,"AH",NA,"5.89",1.14612803567824,"1.14612803567824","5.89"
"tablefootball",NA,NA,10,"AH",NA,NA,NA,NA,NA
"taperecorder",NA,NA,10,"AH",NA,"8.5023149999999994",NA,NA,"8.5023149999999994"
"teddybear",NA,NA,7,"AH",NA,NA,NA,NA,NA
"teepee",NA,NA,4,"AH",NA,"5.89",0.845098040014257,"0.845098040014257","5.89"
"tennisball",NA,NA,8,"AH",NA,NA,NA,NA,NA
"tennisracket",NA,NA,10,"AH",NA,"7.2661030000000011",NA,NA,"7.2661030000000011"
"toiletpaper",NA,NA,9,"AH",NA,"5.0920750000000004",NA,NA,"5.0920750000000004"
"toolbox",NA,NA,7,"AH",NA,"6.67",1.65321251377534,"1.65321251377534","6.67"
"totempole",NA,NA,8,"AH",NA,"8.6728269999999998",NA,NA,"8.6728269999999998"
"toyhorse",NA,NA,6,"AH",NA,NA,NA,NA,NA
"toysoldier",NA,NA,7,"AH",NA,NA,NA,NA,NA
"tshirt",NA,NA,5,"AH",NA,NA,NA,NA,NA
"tv",NA,NA,4,"AH",NA,"3.4722110000000002",3.35487642251623,"3.35487642251623","3.4722110000000002"
"unicycle",NA,NA,9,"AH",NA,"7.26",0.954242509439325,"0.954242509439325","7.26"
"walkietalkie",NA,NA,8,"AH",NA,NA,NA,NA,NA
"washingmachine",NA,NA,10,"AH",NA,"4.8043360000000011",NA,NA,"4.8043360000000011"
"waterbottle",NA,NA,8,"AH",NA,NA,NA,NA,NA
"waterfountain",NA,NA,9,"AH",NA,NA,NA,NA,NA
"wateringcan",NA,NA,9,"AH",NA,"7.2234750000000005",NA,NA,"7.2234750000000005"
"windshieldwiper",NA,NA,12,"AH",NA,NA,NA,NA,NA
"witchhat",NA,NA,6,"AH",NA,NA,NA,NA,NA
"yoyo",NA,NA,4,"AH",NA,"5.6249250000000011",0.778151250383644,"0.778151250383644","5.6249250000000011"
