,id,stimuli,n,percent,lemma_dis,lemma_naming,source,agreement,dist,match
129,1667,wanderer,22,68.75,hoe,hole,dr2,92.3076923,0.083333333,
130,1671,wanderer,18,56.25,dice,ice,boss,97,0.083333333,
131,1671,wanderer,18,56.25,rice,ice,boss,92,0.083333333,
132,1695,wanderer,10,31.25,fountain,mountain,dr2,100,0.083333333,
133,1719,wanderer,14,43.75,pie,pier,mm,73,0.083333333,
134,1720,wanderer,18,56.25,pie,pipe,mm,73,0.083333333,
135,1731,wanderer,10,31.25,road,rod,dr2,85.7142857,0.083333333,
136,1741,wanderer,30,93.75,seal,sea,brodeur,88,0.083333333,
137,1744,wanderer,23,71.875,sea,seal,mm,93,0.083333333,
138,1757,wanderer,15,46.875,pot,spot,dr2,100,0.083333333,
139,1777,wanderer,25,78.125,tie,time,dr2,100,0.083333333,
140,15,airport,10,31.25,chard,card,mm,72,0.066666667,
141,27,airport,12,37.5,horse,hose,brodeur,100,0.066666667,
142,27,airport,12,37.5,house,hose,mm,93,0.066666667,
143,50,airport,11,34.375,swing,wing,brodeur,98,0.066666667,
144,68,ancient_rome,27,84.375,lion,lions,brodeur,88,0.066666667,
145,77,ancient_rome,12,37.5,slide,side,dr2,95.5,0.066666667,
146,92,arrival_1,27,84.375,lock,clock,dr2,100,0.066666667,
147,134,arrival_1,15,46.875,slide,side,dr2,95.5,0.066666667,
148,205,arrival_3,18,56.25,lock,clock,dr2,100,0.066666667,
149,233,arrival_3,18,56.25,nail,snail,boss,78,0.066666667,
150,335,arrival_4,16,50,slide,side,dr2,95.5,0.066666667,
151,402,arrival_5,11,34.375,medal,meal,dr2,100,0.066666667,
152,419,arrival_5,14,43.75,slide,side,dr2,95.5,0.066666667,
153,522,arrival_6,15,46.875,broom,room,boss,94,0.066666667,
154,528,arrival_6,20,62.5,slide,side,dr2,95.5,0.066666667,
155,580,being_a_pirate,11,34.375,shoe,shore,boss,77,0.066666667,
156,581,being_a_pirate,15,46.875,slide,side,dr2,95.5,0.066666667,
157,631,birthday_party_fun,14,43.75,slide,side,dr2,95.5,0.066666667,
158,659,by_the_lake,10,31.25,kite,kites,brodeur,98,0.066666667,1
159,677,by_the_lake,15,46.875,slide,side,dr2,95.5,0.066666667,
160,719,campsite,23,71.875,slide,side,dr2,95.5,0.066666667,
161,797,dinosaurs_spacemen_and_ghouls,19,59.375,broom,room,boss,94,0.066666667,
162,802,dinosaurs_spacemen_and_ghouls,21,65.625,slide,side,dr2,95.5,0.066666667,
163,842,escape_from_the_zoo,14,43.75,lion,lions,brodeur,88,0.066666667,1
164,856,escape_from_the_zoo,10,31.25,slide,side,dr2,95.5,0.066666667,
165,891,exhibit_12,11,34.375,slide,side,dr2,95.5,0.066666667,
166,925,flowerman,13,40.625,lock,clock,dr2,100,0.066666667,
167,956,flowerman,22,68.75,chair,hair,brodeur,88,0.066666667,
168,998,flowerman,12,37.5,broom,room,boss,94,0.066666667,
169,999,flowerman,25,78.125,scale,sale,boss,84,0.066666667,
170,1007,flowerman,21,65.625,slide,side,dr2,95.5,0.066666667,
171,1144,journey,28,87.5,broom,room,boss,94,0.066666667,
172,1149,journey,25,78.125,slide,side,dr2,95.5,0.066666667,
173,1201,make_a_splash,20,62.5,slide,side,dr2,95.5,0.066666667,
174,1236,picture_this,15,46.875,slide,side,dr2,95.5,0.066666667,
175,1327,quest,19,59.375,brain,rain,mm,86,0.066666667,
176,1327,quest,19,59.375,train,rain,mm,93,0.066666667,
177,1341,quest,23,71.875,slide,side,dr2,95.5,0.066666667,
178,1346,quest,17,53.125,pear,spear,boss,100,0.066666667,
179,1369,quest,18,56.25,swing,wing,brodeur,98,0.066666667,
180,1380,return,10,31.25,bear,beard,dr2,100,0.066666667,
181,1459,return,28,87.5,broom,room,boss,94,0.066666667,
182,1464,return,18,56.25,slide,side,dr2,95.5,0.066666667,
183,1491,return,21,65.625,swing,wing,brodeur,98,0.066666667,
184,1571,waldo_1,16,50,slide,side,dr2,95.5,0.066666667,
185,1631,wanderer,27,84.375,cane,crane,boss,71,0.066666667,
186,1714,wanderer,11,34.375,pear,pearl,boss,100,0.066666667,
187,1751,wanderer,27,84.375,slide,side,dr2,95.5,0.066666667,
188,1799,wanderer,18,56.25,swing,wing,brodeur,98,0.066666667,
189,1831,wild_west,14,43.75,slide,side,dr2,95.5,0.066666667,
190,49,airport,14,43.75,waiter,water,dr2,97.1428571,0.055555556,
191,191,arrival_2,14,43.75,waiter,water,dr2,97.1428571,0.055555556,
192,263,arrival_4,14,43.75,bride,bridge,dr2,92.9,0.055555556,
193,312,arrival_4,23,71.875,monkey,money,brodeur,73,0.055555556,
194,417,arrival_5,17,53.125,tshirt,shirt,boss,82,0.055555556,
195,422,arrival_5,12,37.5,stairs,stair,dr2,99.9,0.055555556,1
196,438,arrival_5,18,56.25,waiter,water,dr2,97.1428571,0.055555556,
197,503,arrival_6,26,81.25,monkey,money,brodeur,73,0.055555556,
198,535,arrival_6,17,53.125,stairs,stair,dr2,99.9,0.055555556,1
199,587,being_a_pirate,25,78.125,waiter,water,dr2,97.1428571,0.055555556,
200,638,birthday_party_fun,22,68.75,waiter,water,dr2,97.1428571,0.055555556,
201,684,by_the_lake,28,87.5,waiter,water,dr2,97.1428571,0.055555556,
202,691,campsite,22,68.75,bride,bridge,dr2,92.9,0.055555556,
203,726,campsite,17,53.125,waiter,water,dr2,97.1428571,0.055555556,
204,763,deep_sea_divers,30,93.75,waiter,water,dr2,97.1428571,0.055555556,
205,861,escape_from_the_zoo,15,46.875,waiter,water,dr2,97.1428571,0.055555556,
206,863,escape_from_the_zoo,17,53.125,zebra,zebras,mm,99,0.055555556,1
207,892,exhibit_12,16,50,stairs,stair,dr2,99.9,0.055555556,1
208,915,flowerman,15,46.875,bricks,brick,dr2,73.8095238,0.055555556,1
209,916,flowerman,27,84.375,bride,bridge,dr2,92.9,0.055555556,
210,1004,flowerman,15,46.875,tshirt,shirt,boss,82,0.055555556,1
211,1035,flowerman,22,68.75,waiter,water,dr2,97.1428571,0.055555556,
212,1061,journey,18,56.25,bride,bridge,dr2,92.9,0.055555556,
213,1072,journey,12,37.5,cloud,clouds,brodeur,95,0.055555556,1
214,1131,journey,18,56.25,paper,papers,dr2,72.7,0.055555556,1
215,1167,journey,11,34.375,tower,towers,mm,78,0.055555556,1
216,1174,journey,27,84.375,waiter,water,dr2,97.1428571,0.055555556,
217,1182,make_a_splash,13,40.625,bride,bridge,dr2,92.9,0.055555556,
218,1210,make_a_splash,29,90.625,waiter,water,dr2,97.1428571,0.055555556,
219,1245,picture_this,11,34.375,waiter,water,dr2,97.1428571,0.055555556,
220,1261,quest,29,90.625,bride,bridge,dr2,92.9,0.055555556,
221,1365,quest,29,90.625,waiter,water,dr2,97.1428571,0.055555556,
222,1390,return,19,59.375,bride,bridge,dr2,92.9,0.055555556,
223,1469,return,20,62.5,stairs,stair,dr2,99.9,0.055555556,1
224,1489,return,27,84.375,waiter,water,dr2,97.1428571,0.055555556,
225,1523,unfriendly_giants,21,65.625,waiter,water,dr2,97.1428571,0.055555556,
226,1587,waldo_1,13,40.625,waiter,water,dr2,97.1428571,0.055555556,
227,1612,wanderer,10,31.25,bricks,brick,dr2,73.8095238,0.055555556,1
228,1613,wanderer,21,65.625,bride,bridge,dr2,92.9,0.055555556,
229,1749,wanderer,18,56.25,tshirt,shirt,boss,82,0.055555556,1
230,1759,wanderer,17,53.125,stairs,stair,dr2,99.9,0.055555556,1
231,1793,wanderer,31,96.875,waiter,water,dr2,97.1428571,0.055555556,
232,1832,wild_west,13,40.625,table,stable,brodeur,81,0.055555556,
233,105,arrival_1,16,50,feather,father,boss,100,0.047619048,
234,282,arrival_4,17,53.125,feather,father,boss,100,0.047619048,
235,476,arrival_6,13,40.625,feather,father,boss,100,0.047619048,
236,1090,journey,11,34.375,feather,father,boss,100,0.047619048,
237,1419,return,13,40.625,feather,father,boss,100,0.047619048,
238,853,escape_from_the_zoo,25,78.125,rhinoceros,rhinocero,dr2,100,0.033333333,1
239,1329,quest,26,81.25,rhinoceros,rhinocero,dr2,100,0.033333333,1
