"stimuli","origin","n","percent","source","agreement"
"arrival_4","ear",12,0.375,"mm",99
"arrival_4","face",15,0.46875,NA,NA
"arrival_4","female",24,0.75,NA,NA
"arrival_4","fire",15,0.46875,NA,NA
"arrival_4","fish",22,0.6875,"brodeur",90
"arrival_4","food",20,0.625,NA,NA
"arrival_4","fruit",15,0.46875,NA,NA
"arrival_4","furnace",15,0.46875,NA,NA
"arrival_4","gentleman",28,0.875,NA,NA
"arrival_4","girl",21,0.65625,NA,NA
"arrival_4","glass",11,0.34375,NA,NA
"arrival_4","ground",13,0.40625,NA,NA
"arrival_4","hat",28,0.875,"dr2",100
"arrival_4","head",12,0.375,NA,NA
"arrival_4","horn",13,0.40625,NA,NA
"arrival_4","house",15,0.46875,"mm",93
"arrival_4","ladder",14,0.4375,"dr2",100
"arrival_4","lady",24,0.75,NA,NA
"arrival_4","lever",13,0.40625,NA,NA
"arrival_4","lot",23,0.71875,NA,NA
"arrival_4","map",28,0.875,NA,NA
"arrival_4","megaphone",13,0.40625,NA,NA
"arrival_4","money",23,0.71875,NA,NA
"arrival_4","number",13,0.40625,NA,NA
"arrival_4","page",16,0.5,NA,NA
"arrival_4","paper",17,0.53125,"dr2",72.7
"arrival_4","people",28,0.875,NA,NA
"arrival_4","pet",15,0.46875,NA,NA
"arrival_4","phone",14,0.4375,NA,NA
"arrival_4","picture",26,0.8125,NA,NA
"arrival_4","pocket",23,0.71875,NA,NA
"arrival_4","ship",17,0.53125,"mm",74
"arrival_4","shoe",17,0.53125,"boss",77
"arrival_4","shovel",26,0.8125,"mm",96
"arrival_4","shower",15,0.46875,"dr2",96.7741935
"arrival_4","sky",24,0.75,NA,NA
"arrival_4","smoke",14,0.4375,NA,NA
"arrival_4","snake",16,0.5,"mm",92
"arrival_4","statue",16,0.5,"dr2",93.3
"arrival_4","street",21,0.65625,NA,NA
"arrival_4","tail",26,0.8125,NA,NA
"arrival_4","teepee",11,0.34375,"dr2",100
"arrival_4","tentacle",12,0.375,NA,NA
"arrival_4","ticket",28,0.875,NA,NA
"arrival_4","top",19,0.59375,NA,NA
"arrival_4","train",28,0.875,"mm",93
"arrival_4","vest",17,0.53125,NA,NA
"arrival_4","wall",17,0.53125,NA,NA
"arrival_5","accordion",16,0.5,"brodeur, mm",97
"arrival_5","banjo",16,0.5,"brodeur",95
"arrival_5","basket",20,0.625,"boss",81
"arrival_5","bed",13,0.40625,"brodeur",81
"arrival_5","bird",21,0.65625,"dr2",100
"arrival_5","boat",22,0.6875,"mm",86
"arrival_5","bowl",19,0.59375,"boss",85
"arrival_5","boy",27,0.84375,NA,NA
"arrival_5","cart",12,0.375,"mm",75
"arrival_5","cat",23,0.71875,"brodeur",88
"arrival_5","chef",13,0.40625,NA,NA
"arrival_5","city",18,0.5625,"dr2",74.1
"arrival_5","fellow",27,0.84375,NA,NA
"arrival_5","female",25,0.78125,NA,NA
"arrival_5","fish",21,0.65625,"brodeur",90
"arrival_5","flute",14,0.4375,NA,NA
"arrival_5","food",22,0.6875,NA,NA
"arrival_5","fruit",16,0.5,NA,NA
"arrival_5","gentleman",27,0.84375,NA,NA
"arrival_5","glass",13,0.40625,NA,NA
"arrival_5","hand",21,0.65625,"brodeur",81
"arrival_5","hat",25,0.78125,"dr2",100
"arrival_5","house",16,0.5,"mm",93
"arrival_5","illustration",19,0.59375,NA,NA
"arrival_5","jacket",13,0.40625,"dr2",72.7272727
"arrival_5","ladder",16,0.5,"dr2",100
"arrival_5","lamps",11,0.34375,NA,NA
"arrival_5","origami",19,0.59375,NA,NA
"arrival_5","owl",15,0.46875,"brodeur",100
"arrival_5","paper",21,0.65625,"dr2",72.7
"arrival_5","people",26,0.8125,NA,NA
"arrival_5","pet",17,0.53125,NA,NA
"arrival_5","plate",13,0.40625,"boss",92
"arrival_5","pot",14,0.4375,"dr2",100
"arrival_5","rope",16,0.5,"boss",86
"arrival_5","shirt",16,0.5,"mm",99
"arrival_5","shop",12,0.375,NA,NA
"arrival_5","street",17,0.53125,NA,NA
"arrival_5","table",22,0.6875,"brodeur",81
"arrival_5","tail",12,0.375,NA,NA
"arrival_5","top",11,0.34375,NA,NA
"arrival_5","wall",13,0.40625,NA,NA
"arrival_5","water",16,0.5,NA,NA
"arrival_5","window",13,0.40625,"brodeur",82
"arrival_5","wine",11,0.34375,"dr2",70.7
"arrival_6","animal",17,0.53125,NA,NA
"arrival_6","balloon",14,0.4375,"boss",87
"arrival_6","basket",13,0.40625,"boss",81
"arrival_6","bed",21,0.65625,"brodeur",81
"arrival_6","bird",25,0.78125,"dr2",100
"arrival_6","boot",21,0.65625,"boss",82
"arrival_6","bowl",20,0.625,"boss",85
"arrival_6","boy",25,0.78125,NA,NA
"arrival_6","child",23,0.71875,NA,NA
"arrival_6","city",11,0.34375,"dr2",74.1
"arrival_6","coffee",17,0.53125,NA,NA
"arrival_6","coin",19,0.59375,NA,NA
"arrival_6","cup",24,0.75,"mm",82
"arrival_6","desk",14,0.4375,NA,NA
"arrival_6","dish",13,0.40625,NA,NA
"arrival_6","envelope",26,0.8125,"boss",100
"arrival_6","floor",14,0.4375,"dr2",100
"arrival_6","flower",24,0.75,"brodeur, brodeur",89
"arrival_6","food",13,0.40625,NA,NA
"arrival_6","ground",21,0.65625,NA,NA
"arrival_6","hand",21,0.65625,"brodeur",81
"arrival_6","hat",25,0.78125,"dr2",100
"arrival_6","hole",12,0.375,NA,NA
"arrival_6","image",26,0.8125,NA,NA
"arrival_6","ink",15,0.46875,NA,NA
"arrival_6","ladder",23,0.71875,"dr2",100
"arrival_6","lamp",11,0.34375,"boss",92
"arrival_6","leaf",22,0.6875,"boss",97
"arrival_6","letter",24,0.75,NA,NA
"arrival_6","mailbox",16,0.5,"brodeur, dr2",100
"arrival_6","man",26,0.8125,NA,NA
"arrival_6","mirror",11,0.34375,"dr2",100
"arrival_6","money",23,0.71875,NA,NA
"arrival_6","mouse",11,0.34375,"dr2",100
"arrival_6","newspaper",14,0.4375,NA,NA
"arrival_6","origami",18,0.5625,NA,NA
"arrival_6","page",21,0.65625,NA,NA
"arrival_6","pen",14,0.4375,"boss",90
"arrival_6","people",12,0.375,NA,NA
"arrival_6","person",13,0.40625,NA,NA
"arrival_6","petal",11,0.34375,NA,NA
"arrival_6","pot",20,0.625,"dr2",100
"arrival_6","seed",11,0.34375,NA,NA
"arrival_6","shape",21,0.65625,NA,NA
"arrival_6","sky",16,0.5,NA,NA
"arrival_6","snow",17,0.53125,NA,NA
"arrival_6","stamp",22,0.6875,NA,NA
"arrival_6","table",20,0.625,"brodeur",81
"arrival_6","tail",14,0.4375,NA,NA
"arrival_6","time",14,0.4375,NA,NA
"arrival_6","tree",15,0.46875,"brodeur",95
"arrival_6","window",24,0.75,"brodeur",82
"arrival_6","woman",23,0.71875,NA,NA
"being_a_pirate","beach",11,0.34375,NA,NA
"being_a_pirate","boat",28,0.875,"mm",86
"being_a_pirate","boats",28,0.875,NA,NA
"being_a_pirate","cannon",21,0.65625,"mm",98
"being_a_pirate","chest",11,0.34375,"dr2, dr2",85.7
"being_a_pirate","couple",11,0.34375,NA,NA
"being_a_pirate","crossbone",13,0.40625,NA,NA
"being_a_pirate","flag",22,0.6875,"brodeur",71
"being_a_pirate","image",11,0.34375,NA,NA
"being_a_pirate","land",11,0.34375,NA,NA
"being_a_pirate","lot",18,0.5625,NA,NA
"being_a_pirate","mast",12,0.375,NA,NA
"being_a_pirate","ocean",26,0.8125,NA,NA
"being_a_pirate","octopus",19,0.59375,NA,NA
"being_a_pirate","palm",17,0.53125,NA,NA
"being_a_pirate","pirate",28,0.875,NA,NA
"being_a_pirate","scene",13,0.40625,NA,NA
"being_a_pirate","tree",18,0.5625,"brodeur",95
"being_a_pirate","water",24,0.75,NA,NA
"birthday_party_fun","alligator",16,0.5,NA,NA
"birthday_party_fun","balloon",13,0.40625,"boss",87
"birthday_party_fun","bat",15,0.46875,"mm",96
"birthday_party_fun","box",23,0.71875,"dr2",95.4545455
"birthday_party_fun","cake",12,0.375,NA,NA
"birthday_party_fun","castle",19,0.59375,"dr2",100
"birthday_party_fun","celebration",27,0.84375,NA,NA
"birthday_party_fun","child",17,0.53125,NA,NA
"birthday_party_fun","clown",19,0.59375,NA,NA
"birthday_party_fun","food",20,0.625,NA,NA
"birthday_party_fun","gentleman",14,0.4375,NA,NA
"birthday_party_fun","gift",16,0.5,NA,NA
"birthday_party_fun","girl",11,0.34375,NA,NA
"birthday_party_fun","gun",13,0.40625,"mm",90
"birthday_party_fun","house",13,0.40625,"mm",93
"birthday_party_fun","lantern",11,0.34375,NA,NA
"birthday_party_fun","lion",14,0.4375,"brodeur",88
"birthday_party_fun","lot",21,0.65625,NA,NA
"birthday_party_fun","one",11,0.34375,NA,NA
"birthday_party_fun","penguin",16,0.5,"mm",99
"birthday_party_fun","people",26,0.8125,NA,NA
"birthday_party_fun","person",11,0.34375,NA,NA
"birthday_party_fun","pinata",18,0.5625,NA,NA
"birthday_party_fun","pool",25,0.78125,"dr2",100
"birthday_party_fun","robot",11,0.34375,NA,NA
"birthday_party_fun","side",13,0.40625,NA,NA
"birthday_party_fun","table",23,0.71875,"brodeur",81
"birthday_party_fun","tree",15,0.46875,"brodeur",95
"birthday_party_fun","war",17,0.53125,NA,NA
"birthday_party_fun","water",18,0.5625,NA,NA
"birthday_party_fun","witch",17,0.53125,NA,NA
"by_the_lake","ball",14,0.4375,"mm",89
"by_the_lake","boat",15,0.46875,"mm",86
"by_the_lake","building",14,0.4375,NA,NA
"by_the_lake","cabin",16,0.5,NA,NA
"by_the_lake","canoe",11,0.34375,"dr2",95.2
"by_the_lake","castle",20,0.625,"dr2",100
"by_the_lake","couple",11,0.34375,NA,NA
"by_the_lake","deck",14,0.4375,NA,NA
"by_the_lake","dock",13,0.40625,NA,NA
"by_the_lake","dog",15,0.46875,NA,NA
"by_the_lake","dragon",14,0.4375,NA,NA
"by_the_lake","float",14,0.4375,NA,NA
"by_the_lake","hand",12,0.375,"brodeur",81
"by_the_lake","kid",14,0.4375,NA,NA
"by_the_lake","lake",25,0.78125,NA,NA
"by_the_lake","lot",21,0.65625,NA,NA
"by_the_lake","man",14,0.4375,NA,NA
"by_the_lake","net",13,0.40625,NA,NA
"by_the_lake","ocean",26,0.8125,NA,NA
"by_the_lake","people",29,0.90625,NA,NA
"by_the_lake","pyramid",16,0.5,"mm",84
"by_the_lake","sand",16,0.5,NA,NA
"by_the_lake","sandcastle",19,0.59375,"brodeur",95
"by_the_lake","tube",11,0.34375,NA,NA
"by_the_lake","umbrella",12,0.375,"boss, dr2",100
"by_the_lake","volleyball",18,0.5625,"brodeur",76
"deep_sea_divers","arrow",13,0.40625,"mm",94
"deep_sea_divers","chest",11,0.34375,"dr2, dr2",85.7
"deep_sea_divers","diver",13,0.40625,NA,NA
"deep_sea_divers","face",13,0.40625,NA,NA
"deep_sea_divers","fellow",14,0.4375,NA,NA
"deep_sea_divers","fish",26,0.8125,"brodeur",90
"deep_sea_divers","fishnet",16,0.5,NA,NA
"deep_sea_divers","lot",22,0.6875,NA,NA
"deep_sea_divers","mermaid",24,0.75,NA,NA
"deep_sea_divers","net",16,0.5,NA,NA
"deep_sea_divers","octopi",14,0.4375,NA,NA
"deep_sea_divers","octopus",11,0.34375,NA,NA
"deep_sea_divers","people",26,0.8125,NA,NA
"deep_sea_divers","person",12,0.375,NA,NA
"deep_sea_divers","rock",20,0.625,NA,NA
"deep_sea_divers","school",12,0.375,NA,NA
"deep_sea_divers","sea",19,0.59375,"mm",93
"deep_sea_divers","shark",13,0.40625,"dr2",100
"deep_sea_divers","top",16,0.5,NA,NA
"deep_sea_divers","water",25,0.78125,NA,NA
"dinosaurs_spacemen_and_ghouls","astronaut",20,0.625,NA,NA
"dinosaurs_spacemen_and_ghouls","boat",22,0.6875,"mm",86
"dinosaurs_spacemen_and_ghouls","cafeteria",16,0.5,NA,NA
"dinosaurs_spacemen_and_ghouls","camera",15,0.46875,"boss",82
"dinosaurs_spacemen_and_ghouls","caveman",24,0.75,NA,NA
"dinosaurs_spacemen_and_ghouls","costume",12,0.375,NA,NA
"dinosaurs_spacemen_and_ghouls","dino",27,0.84375,NA,NA
"dinosaurs_spacemen_and_ghouls","dinosaur",27,0.84375,NA,NA
"dinosaurs_spacemen_and_ghouls","door",12,0.375,NA,NA
"dinosaurs_spacemen_and_ghouls","food",15,0.46875,NA,NA
"dinosaurs_spacemen_and_ghouls","ghost",17,0.53125,NA,NA
"dinosaurs_spacemen_and_ghouls","hand",14,0.4375,"brodeur",81
"dinosaurs_spacemen_and_ghouls","light",23,0.71875,NA,NA
"dinosaurs_spacemen_and_ghouls","lot",18,0.5625,NA,NA
"dinosaurs_spacemen_and_ghouls","mummy",17,0.53125,"brodeur",86
"dinosaurs_spacemen_and_ghouls","painting",16,0.5,"brodeur",71
"dinosaurs_spacemen_and_ghouls","people",26,0.8125,NA,NA
"dinosaurs_spacemen_and_ghouls","picture",16,0.5,NA,NA
"dinosaurs_spacemen_and_ghouls","pie",11,0.34375,"mm",73
"dinosaurs_spacemen_and_ghouls","rocket",17,0.53125,"dr2",86.3636364
"dinosaurs_spacemen_and_ghouls","saucer",12,0.375,NA,NA
"dinosaurs_spacemen_and_ghouls","shirt",14,0.4375,"mm",99
"dinosaurs_spacemen_and_ghouls","space",22,0.6875,NA,NA
"dinosaurs_spacemen_and_ghouls","spacecraft",19,0.59375,NA,NA
"dinosaurs_spacemen_and_ghouls","tree",15,0.46875,"brodeur",95
"dinosaurs_spacemen_and_ghouls","volcano",21,0.65625,"mm",99
"escape_from_the_zoo","bear",25,0.78125,"dr2",100
"escape_from_the_zoo","bird",20,0.625,"dr2",100
"escape_from_the_zoo","cafe",25,0.78125,NA,NA
"escape_from_the_zoo","child",11,0.34375,NA,NA
"escape_from_the_zoo","children",11,0.34375,NA,NA
"escape_from_the_zoo","cone",12,0.375,NA,NA
"escape_from_the_zoo","cream",20,0.625,NA,NA
"escape_from_the_zoo","crebe",17,0.53125,NA,NA
"escape_from_the_zoo","dog",19,0.59375,NA,NA
"escape_from_the_zoo","elephant",19,0.59375,"brodeur",95
"escape_from_the_zoo","flamingo",20,0.625,"brodeur",87
"escape_from_the_zoo","gentleman",19,0.59375,NA,NA
"escape_from_the_zoo","giraffe",24,0.75,"brodeur, dr2",100
"escape_from_the_zoo","gorilla",19,0.59375,"dr2",85.7
"escape_from_the_zoo","ice",28,0.875,NA,NA
"escape_from_the_zoo","kangaroo",11,0.34375,"dr2",98.5507246
"escape_from_the_zoo","kid",11,0.34375,NA,NA
"escape_from_the_zoo","lion",23,0.71875,"brodeur",88
"escape_from_the_zoo","lions",14,0.4375,NA,NA
"escape_from_the_zoo","lot",15,0.46875,NA,NA
"escape_from_the_zoo","monkey",12,0.375,"brodeur",73
"escape_from_the_zoo","net",11,0.34375,NA,NA
"escape_from_the_zoo","peacock",14,0.4375,"dr2",100
"escape_from_the_zoo","penguin",20,0.625,"mm",99
"escape_from_the_zoo","people",27,0.84375,NA,NA
"escape_from_the_zoo","shop",24,0.75,NA,NA
"escape_from_the_zoo","snake",13,0.40625,"mm",92
"escape_from_the_zoo","top",17,0.53125,NA,NA
"escape_from_the_zoo","tree",19,0.59375,"brodeur",95
"escape_from_the_zoo","water",14,0.4375,NA,NA
"escape_from_the_zoo","zebras",16,0.5,NA,NA
"escape_from_the_zoo","zoo",28,0.875,NA,NA
"exhibit_12","art",11,0.34375,NA,NA
"exhibit_12","artwork",29,0.90625,NA,NA
"exhibit_12","clown",16,0.5,NA,NA
"exhibit_12","floor",15,0.46875,"dr2",100
"exhibit_12","gentleman",17,0.53125,NA,NA
"exhibit_12","horse",12,0.375,"brodeur",100
"exhibit_12","human",29,0.90625,NA,NA
"exhibit_12","ladder",22,0.6875,"dr2",100
"exhibit_12","lot",22,0.6875,NA,NA
"exhibit_12","museum",13,0.40625,NA,NA
"exhibit_12","officer",13,0.40625,NA,NA
"exhibit_12","photograph",24,0.75,NA,NA
"exhibit_12","wall",26,0.8125,NA,NA
"exhibit_12","woman",12,0.375,NA,NA
"flowerman","adult",24,0.75,NA,NA
"flowerman","apartment",13,0.40625,NA,NA
"flowerman","art",16,0.5,NA,NA
"flowerman","artist",18,0.5625,NA,NA
"flowerman","awning",11,0.34375,NA,NA
"flowerman","bag",16,0.5,NA,NA
"flowerman","bait",21,0.65625,NA,NA
"flowerman","balcony",14,0.4375,"dr2",85.7142857
"flowerman","bar",23,0.71875,NA,NA
"flowerman","blossom",26,0.8125,NA,NA
"flowerman","blouse",13,0.40625,NA,NA
"flowerman","boy",21,0.65625,NA,NA
"flowerman","brick",12,0.375,"boss",100
"flowerman","bridge",24,0.75,"brodeur",90
"flowerman","building",27,0.84375,NA,NA
"flowerman","cafe",20,0.625,NA,NA
"flowerman","car",25,0.78125,"mm",93
"flowerman","cart",15,0.46875,"mm",75
"flowerman","cat",12,0.375,"brodeur",88
"flowerman","child",11,0.34375,NA,NA
"flowerman","chimney",14,0.4375,"brodeur",86
"flowerman","clock",12,0.375,"boss",92
"flowerman","clown",11,0.34375,NA,NA
"flowerman","coat",17,0.53125,"mm",96
"flowerman","color",25,0.78125,NA,NA
"flowerman","corner",16,0.5,NA,NA
"flowerman","cottage",27,0.84375,NA,NA
"flowerman","daisie",26,0.8125,NA,NA
"flowerman","daisy",26,0.8125,"mm",95
"flowerman","dog",22,0.6875,NA,NA
"flowerman","door",20,0.625,NA,NA
"flowerman","drawing",23,0.71875,NA,NA
"flowerman","edge",11,0.34375,NA,NA
"flowerman","face",12,0.375,NA,NA
"flowerman","family",13,0.40625,NA,NA
"flowerman","fellow",27,0.84375,NA,NA
"flowerman","female",25,0.78125,NA,NA
"flowerman","fence",12,0.375,"dr2",100
"flowerman","floor",13,0.40625,"dr2",100
"flowerman","flower",26,0.8125,"brodeur, brodeur",89
"flowerman","fountain",23,0.71875,"dr2",100
"flowerman","gas",23,0.71875,NA,NA
"flowerman","girl",26,0.8125,NA,NA
"flowerman","grass",22,0.6875,NA,NA
"flowerman","hair",20,0.625,NA,NA
"flowerman","hand",19,0.59375,"brodeur",81
"flowerman","hat",23,0.71875,"dr2",100
"flowerman","house",27,0.84375,"mm",93
"flowerman","lady",12,0.375,NA,NA
"flowerman","lawnmower",17,0.53125,"brodeur",98
"flowerman","leg",14,0.4375,NA,NA
"flowerman","light",23,0.71875,NA,NA
"flowerman","lot",23,0.71875,NA,NA
"flowerman","milk",19,0.59375,NA,NA
"flowerman","milkman",15,0.46875,NA,NA
"flowerman","moped",18,0.5625,NA,NA
"flowerman","one",17,0.53125,NA,NA
"flowerman","page",13,0.40625,NA,NA
"flowerman","path",17,0.53125,NA,NA
"flowerman","people",27,0.84375,NA,NA
"flowerman","person",24,0.75,NA,NA
"flowerman","photo",23,0.71875,NA,NA
"flowerman","roof",25,0.78125,"dr2",90.9
"flowerman","rooftop",12,0.375,NA,NA
"flowerman","room",11,0.34375,NA,NA
"flowerman","scooter",15,0.46875,"brodeur",90
"flowerman","shaker",11,0.34375,NA,NA
"flowerman","shirt",13,0.40625,"mm",99
"flowerman","shutter",24,0.75,NA,NA
"flowerman","sidewalk",14,0.4375,NA,NA
"flowerman","sign",23,0.71875,NA,NA
"flowerman","skirt",12,0.375,"mm",99
"flowerman","sky",18,0.5625,NA,NA
"flowerman","smoke",13,0.40625,NA,NA
"flowerman","stair",14,0.4375,NA,NA
"flowerman","street",26,0.8125,NA,NA
"flowerman","telescope",16,0.5,"dr2",100
"flowerman","tent",11,0.34375,"brodeur",90
"flowerman","top",19,0.59375,NA,NA
"flowerman","towel",11,0.34375,NA,NA
"flowerman","tree",25,0.78125,"brodeur",95
"flowerman","truck",22,0.6875,"dr2",95.4545455
"flowerman","water",20,0.625,NA,NA
"flowerman","wheel",16,0.5,"boss",82
"flowerman","wheelchair",15,0.46875,"dr2",98.1
"journey","airboat",28,0.875,NA,NA
"journey","aircraft",20,0.625,NA,NA
"journey","apartment",22,0.6875,NA,NA
"journey","arm",13,0.40625,"mm",96
"journey","background",12,0.375,NA,NA
"journey","ball",15,0.46875,"mm",89
"journey","balloon",27,0.84375,"boss",87
"journey","basket",11,0.34375,"boss",81
"journey","bed",21,0.65625,"brodeur",81
"journey","bedroom",12,0.375,NA,NA
"journey","bicycle",23,0.71875,"dr2",94.9152542
"journey","boat",21,0.65625,"mm",86
"journey","book",13,0.40625,"boss",90
"journey","boy",26,0.8125,NA,NA
"journey","bridge",17,0.53125,"brodeur",90
"journey","building",20,0.625,NA,NA
"journey","cage",28,0.875,NA,NA
"journey","carpet",27,0.84375,NA,NA
