"","lemma","source","agreement","target","stimuli"
"1","polarbear","brodeur",90,"polarbear.jpg","escape_from_the_zoo"
"2","palmtree","moreno-martinez",97,"palm_tree.jpg","journey, quest, picture_this, being_a_pirate, make_a_splash"
"3","paperairplane",NA,NA,NA,"wanderer"
"4","hotdog","brodeur",74,"hotdog.jpg","escape_from_the_zoo"
"5","fishingpole","DR2",94.2857143,"fishingpole_01_og.jpg","wanderer"
"6","lawnmower","brodeur",98,"lawnmower.jpg","flowerman"
"7","icecream cone",NA,NA,NA,"escape_from_the_zoo, dinosaurs_spacemen_and_ghouls"
"8","chessboard",NA,NA,NA,"unfriendly_giants"
"9","firehydrant","DR2",100,"firehydrant_02_og.jpg","journey, flowerman"
"10","jetski",NA,NA,NA,"by_the_lake"
"11","pirateflag","brodeur",74,"pirateflag.jpg","being_a_pirate"
"12","fishingrod","brodeur",72,"fishingrod.jpg","wanderer"
"13","trafficlight",NA,NA,NA,"journey"
"14","ace",NA,NA,NA,"airport"
"15","air",NA,NA,NA,"airport, arrival_2, arrival_4, arrival_5, arrival_6, journey, quest, return, wanderer"
"16","airplane","DR2",95.4545455,"airplane_01_og.jpg","airport, wanderer"
"17","airport",NA,NA,NA,"airport"
"18","area",NA,NA,NA,"airport, ancient_rome, arrival_4, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, journey, make_a_splash, quest, return, waldo_1, wanderer"
"19","attendant",NA,NA,NA,"airport"
"20","back",NA,NA,NA,"airport, ancient_rome, arrival_3, escape_from_the_zoo, flowerman, journey, quest, return, wanderer"
"21","background",NA,NA,NA,"airport, arrival_2, arrival_4, arrival_5, arrival_6, by_the_lake, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, journey, quest, return, wanderer"
"22","baggage",NA,NA,NA,"airport"
"23","balloon","boss",87,"balloon01b.jpg","airport, arrival_6, birthday_party_fun, journey, quest, return"
"24","biplane",NA,NA,NA,"airport"
"25","blimp","DR2",91.3,"blimp_01_og.jpg","airport, quest"
"26","bottom",NA,NA,NA,"airport, ancient_rome, deep_sea_divers, dinosaurs_spacemen_and_ghouls, flowerman, journey, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer"
"27","break",NA,NA,NA,"airport"
"28","building",NA,NA,NA,"airport, arrival_1, arrival_3, arrival_4, arrival_5, arrival_6, by_the_lake, escape_from_the_zoo, exhibit_12, flowerman, journey, quest, return, waldo_1, wanderer, wild_west"
"29","bus","moreno-martinez",76,"bus.jpg","airport"
"30","card",NA,NA,NA,"airport"
"31","cart","moreno-martinez",75,"cart.jpg","airport, arrival_3, arrival_5, flowerman"
"32","center",NA,NA,NA,"airport, arrival_4, arrival_6, escape_from_the_zoo, quest, waldo_1"
"33","coat","moreno-martinez",96,"coat.jpg","airport, arrival_1, arrival_4, arrival_5, arrival_6, flowerman, journey, wild_west"
"34","control",NA,NA,NA,"airport"
"35","couple",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_3, arrival_6, being_a_pirate, by_the_lake, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"36","door",NA,NA,NA,"airport, arrival_4, arrival_5, arrival_6, dinosaurs_spacemen_and_ghouls, flowerman, journey, quest, return, waldo_1, wanderer"
"37","elephant","brodeur",95,"africanelephant.jpg","airport, birthday_party_fun, escape_from_the_zoo, make_a_splash, quest, wanderer"
"38","engine",NA,NA,NA,"airport, waldo_1"
"39","fire",NA,NA,NA,"airport, arrival_4, campsite, flowerman, journey, quest, waldo_1"
"40","flag","brodeur",71,"flag.jpg","airport, being_a_pirate, wanderer"
"41","flight",NA,NA,NA,"airport"
"42","forklift",NA,NA,NA,"airport"
"43","fuel",NA,NA,NA,"airport"
"44","ground",NA,NA,NA,"airport, ancient_rome, arrival_3, arrival_4, arrival_6, campsite, dinosaurs_spacemen_and_ghouls, exhibit_12, journey, quest, return, unfriendly_giants, waldo_1, wanderer"
"45","guy",NA,NA,NA,"airport, arrival_3, birthday_party_fun, campsite, flowerman, picture_this, return, unfriendly_giants, waldo_1, wanderer"
"46","helicopter","brodeur",90,"helicopter.jpg","airport"
"47","hose",NA,NA,NA,"airport"
"48","jet",NA,NA,NA,"airport, by_the_lake"
"49","jumbo",NA,NA,NA,"airport"
"50","kind",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"51","line",NA,NA,NA,"airport, arrival_2, arrival_6, deep_sea_divers, dinosaurs_spacemen_and_ghouls, journey, make_a_splash, return, wanderer"
"52","lot",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"53","luggage",NA,NA,NA,"airport, arrival_1, arrival_2"
"54","man",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"55","nose","brodeur",88,"nose.jpg","airport, deep_sea_divers, wanderer"
"56","one",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, wanderer, wild_west"
"57","people",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"58","person",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, birthday_party_fun, by_the_lake, deep_sea_divers, flowerman, journey, picture_this, quest, return, waldo_1, wanderer"
"59","picture",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, by_the_lake, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"60","pilot",NA,NA,NA,"airport"
"61","plane",NA,NA,NA,"airport, escape_from_the_zoo"
"62","rocket","DR2",86.3636364,"rocket_01_og.jpg","airport, dinosaurs_spacemen_and_ghouls, wanderer"
"63","scene",NA,NA,NA,"airport, ancient_rome, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"64","security",NA,NA,NA,"airport"
"65","sky",NA,NA,NA,"airport, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, dinosaurs_spacemen_and_ghouls, flowerman, journey, quest, return, wanderer"
"66","smoke",NA,NA,NA,"airport, arrival_1, arrival_4, arrival_6, campsite, flowerman, quest, wanderer"
"67","spaceship",NA,NA,NA,"airport, dinosaurs_spacemen_and_ghouls"
"68","spade",NA,NA,NA,"airport"
"69","stair",NA,NA,NA,"airport, arrival_4, arrival_5, arrival_6, exhibit_12, return, wanderer"
"70","suitcase","DR2",97.0588235,"suitcase_01_og.jpg","airport, arrival_1, arrival_2, arrival_3"
"71","tarmac",NA,NA,NA,"airport"
"72","thing",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"73","ticket",NA,NA,NA,"airport, arrival_4"
"74","top",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_4, arrival_5, arrival_6, being_a_pirate, by_the_lake, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"75","tower","moreno-martinez",78,"tower.jpg","airport, arrival_3, journey, quest, wanderer"
"76","traffic",NA,NA,NA,"airport, journey"
"77","truck","DR2",95.4545455,"truck_01_og.jpg","airport, flowerman, waldo_1"
"78","um",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, birthday_party_fun, campsite, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"79","umm",NA,NA,NA,"airport, arrival_4, arrival_5, arrival_6, being_a_pirate, by_the_lake, campsite, dinosaurs_spacemen_and_ghouls, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"80","vehicle",NA,NA,NA,"airport"
"81","waldo",NA,NA,NA,"airport, campsite, unfriendly_giants, waldo_1"
"82","watch","DR2",95.4545455,"watch_01_og.jpg","airport, arrival_3"
"83","water",NA,NA,NA,"airport, arrival_2, arrival_4, arrival_5, being_a_pirate, birthday_party_fun, by_the_lake, campsite, deep_sea_divers, escape_from_the_zoo, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer"
"84","wing",NA,NA,NA,"airport, arrival_6, quest, return, wanderer"
"85","worker",NA,NA,NA,"airport"
"86","animal",NA,NA,NA,"ancient_rome, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, birthday_party_fun, campsite, escape_from_the_zoo, flowerman, picture_this, quest, return, wanderer"
"87","arena",NA,NA,NA,"ancient_rome"
"88","bunch",NA,NA,NA,"ancient_rome, arrival_4, arrival_5, by_the_lake, campsite, deep_sea_divers, exhibit_12, make_a_splash, picture_this, quest, unfriendly_giants, wanderer, wild_west"
"89","chariot",NA,NA,NA,"ancient_rome"
"90","colosseum",NA,NA,NA,"ancient_rome"
"91","crowd",NA,NA,NA,"ancient_rome, exhibit_12"
"92","fight",NA,NA,NA,"ancient_rome"
"93","fun",NA,NA,NA,"ancient_rome, birthday_party_fun, by_the_lake, make_a_splash"
"94","game",NA,NA,NA,"ancient_rome, by_the_lake"
"95","gladiator",NA,NA,NA,"ancient_rome"
"96","hand","brodeur",81,"?","ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, deep_sea_divers, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, journey, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"97","horse","brodeur",100,"horse.jpg","ancient_rome, exhibit_12, flowerman, return, wanderer, wild_west"
"98","knife","boss",87,"?","ancient_rome"
"99","leopard",NA,NA,NA,"ancient_rome, wanderer"
"100","lion","brodeur",88,"lion.jpg","ancient_rome, birthday_party_fun, escape_from_the_zoo, wanderer"
"101","lions",NA,NA,NA,"ancient_rome, escape_from_the_zoo"
"102","number",NA,NA,NA,"ancient_rome, arrival_4, wanderer"
"103","place",NA,NA,NA,"ancient_rome, arrival_4, arrival_5, arrival_6, campsite, exhibit_12, flowerman, journey, quest, return, waldo_1, wanderer, wild_west"
"104","pyramid","moreno-martinez",84,"pyramid.jpg","ancient_rome, by_the_lake, quest"
"105","ring","boss",100,"ring01.jpg","ancient_rome, picture_this"
"106","rome",NA,NA,NA,"ancient_rome"
"107","shield","moreno-martinez",96,"shield.jpg","ancient_rome"
"108","side",NA,NA,NA,"ancient_rome, arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, by_the_lake, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
"109","soldier","DR2",75,"soldier_01_og.jpg","ancient_rome, journey, quest, return"
"110","spear","brodeur",75,"spear02.jpg","ancient_rome, journey, quest"
"111","spectator",NA,NA,NA,"ancient_rome"
"112","stand",NA,NA,NA,"ancient_rome, arrival_3, escape_from_the_zoo"
"113","sword","moreno-martinez",97,"sword.jpg","ancient_rome, being_a_pirate, picture_this, return"
"114","tiger","moreno-martinez",99,"tiger.jpg","ancient_rome"
"115","time",NA,NA,NA,"ancient_rome, arrival_3, arrival_4, arrival_5, arrival_6, by_the_lake, flowerman, journey, make_a_splash, quest, return, unfriendly_giants, wanderer"
"116","wall",NA,NA,NA,"ancient_rome, arrival_1, arrival_4, arrival_5, arrival_6, dinosaurs_spacemen_and_ghouls, exhibit_12, journey, quest, return, wanderer"
"117","way",NA,NA,NA,"ancient_rome, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, campsite, escape_from_the_zoo, flowerman, journey, quest, return, wanderer"
"118","arm","moreno-martinez",96,"arm.jpg","arrival_1, arrival_2, arrival_3, arrival_4, journey, quest, return, wanderer"
"119","bed","brodeur",81,"bed.jpg","arrival_1, arrival_3, arrival_5, arrival_6, journey, return"
"120","belt","boss",95,"belt02a.jpg","arrival_1, quest, unfriendly_giants"
"121","bird","DR2",100,"bird_01_og.jpg","arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, being_a_pirate, campsite, escape_from_the_zoo, journey, quest, return, wanderer"
"122","boot","boss",82,"boot02b.jpg","arrival_1, arrival_6"
"123","bow","moreno-martinez",99,"bow.jpg","arrival_1, flowerman, waldo_1"
"124","bowl","boss",85,"bowl01.jpg","arrival_1, arrival_2, arrival_4, arrival_5, arrival_6"
"125","breakfast",NA,NA,NA,"arrival_1"
"126","chair","brodeur",88,"chair.jpg","arrival_1, arrival_3, flowerman, journey, return"
"127","child",NA,NA,NA,"arrival_1, arrival_2, arrival_3, arrival_4, arrival_6, birthday_party_fun, escape_from_the_zoo, flowerman, journey, make_a_splash, quest, return, waldo_1"
"128","clock","boss",92,"clock04.jpg","arrival_1, arrival_3, flowerman"
"129","cloth",NA,NA,NA,"arrival_1"
"130","clothing",NA,NA,NA,"arrival_1"
"131","coffee",NA,NA,NA,"arrival_1, arrival_6"
"132","crack",NA,NA,NA,"arrival_1"
"133","cup","moreno-martinez",82,"cup.jpg","arrival_1, arrival_2, arrival_5, arrival_6"
"134","dad",NA,NA,NA,"arrival_1, journey, return"
"135","daughter",NA,NA,NA,"arrival_1, arrival_6, flowerman, return"
"136","distance",NA,NA,NA,"arrival_1, by_the_lake, journey, quest, return, wanderer"
"137","dragon",NA,NA,NA,"arrival_1, arrival_4, by_the_lake, journey, make_a_splash, picture_this, return"
"138","drawing",NA,NA,NA,"arrival_1, arrival_6, return"
"139","ear","moreno-martinez",99,"ear.jpg","arrival_1, arrival_4"
"140","eye","brodeur",76,"eye.jpg","arrival_1, arrival_2, arrival_4, arrival_5, deep_sea_divers, flowerman, picture_this, quest, return, wanderer"
"141","family",NA,NA,NA,"arrival_1, arrival_2, arrival_6, flowerman"
"142","father",NA,NA,NA,"arrival_1, arrival_4, arrival_5, arrival_6, journey, return"
"143","frame",NA,NA,NA,"arrival_1, arrival_6, exhibit_12, picture_this"
"144","girl",NA,NA,NA,"arrival_1, arrival_4, arrival_6, birthday_party_fun, by_the_lake, flowerman, journey, make_a_splash, quest, return"
"145","goodbye",NA,NA,NA,"arrival_1, quest"
"146","handkerchief",NA,NA,NA,"arrival_1"
"147","hat","DR2",100,"hat_01_og.jpg","arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, flowerman, journey, picture_this, unfriendly_giants, wanderer, wild_west"
"148","head",NA,NA,NA,"arrival_1, arrival_2, arrival_3, arrival_4, arrival_6, birthday_party_fun, campsite, exhibit_12, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer"
"149","hold",NA,NA,NA,"arrival_1, arrival_3, arrival_4, arrival_5, journey, quest, return, wanderer"
"150","hook",NA,NA,NA,"arrival_1, arrival_6"
"151","house","moreno-martinez",93,"house.jpg","arrival_1, arrival_4, arrival_5, arrival_6, birthday_party_fun, by_the_lake, flowerman, journey, return, unfriendly_giants, waldo_1, wanderer"
"152","hug",NA,NA,NA,"arrival_1"
"153","item",NA,NA,NA,"arrival_1, arrival_4, arrival_5"
"154","kitchen",NA,NA,NA,"arrival_1, journey, return"
"155","left",NA,NA,NA,"arrival_1, being_a_pirate, flowerman, quest, wanderer"
"156","lid",NA,NA,NA,"arrival_1"
"157","mantle",NA,NA,NA,"arrival_1"
"158","mom",NA,NA,NA,"arrival_1, journey"
"159","mother",NA,NA,NA,"arrival_1, arrival_6, flowerman, journey"
"160","ocean",NA,NA,NA,"arrival_1, being_a_pirate, deep_sea_divers, return, wanderer"
"161","origami",NA,NA,NA,"arrival_1, arrival_2, arrival_5, arrival_6"
"162","page",NA,NA,NA,"arrival_1, arrival_2, arrival_4, arrival_5, arrival_6, being_a_pirate, birthday_party_fun, campsite, dinosaurs_spacemen_and_ghouls, flowerman, journey, make_a_splash, picture_this, quest, return, wanderer, wild_west"
"163","paper","DR2",72.7,"paper_02_og.jpg","arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, journey, quest, wanderer"
"164","photo",NA,NA,NA,"arrival_1, arrival_6"
"165","porthole",NA,NA,NA,"arrival_1"
"166","pot","DR2",100,"pot_01_og.jpg","arrival_1, arrival_4, arrival_5, arrival_6, journey"
"167","room",NA,NA,NA,"arrival_1, arrival_4, arrival_6, dinosaurs_spacemen_and_ghouls, exhibit_12, flowerman, journey, return"
"168","scarf","boss",95,"scarf.jpg","arrival_1, flowerman"
"169","shadow",NA,NA,NA,"arrival_1"
"170","shelf",NA,NA,NA,"arrival_1"
"171","ship","moreno-martinez",74,"ship.jpg","arrival_1, arrival_2, arrival_4, arrival_6, being_a_pirate, dinosaurs_spacemen_and_ghouls, journey, make_a_splash, quest, return, wanderer"
"172","shoulder",NA,NA,NA,"arrival_1, arrival_2, arrival_3, arrival_4, journey, picture_this, quest, return"
"173","soup",NA,NA,NA,"arrival_1"
"174","spoon","boss",92,"spoon01.jpg","arrival_1"
"175","station",NA,NA,NA,"arrival_1, arrival_4, flowerman, waldo_1"
"176","steam",NA,NA,NA,"arrival_1, arrival_6, journey, wanderer"
"177","street",NA,NA,NA,"arrival_1, arrival_3, arrival_4, arrival_5, arrival_6, flowerman, journey, return, waldo_1, wanderer, wild_west"
"178","string",NA,NA,NA,"arrival_1, journey"
"179","sun","moreno-martinez",75,"sun.jpg","arrival_1, wanderer"
"180","table","brodeur",81,"table01.jpg","arrival_1, arrival_5, arrival_6, birthday_party_fun, by_the_lake, dinosaurs_spacemen_and_ghouls, flowerman, journey, return, waldo_1"
"181","tail",NA,NA,NA,"arrival_1, arrival_2, arrival_4, arrival_5, arrival_6, journey, quest, return, wanderer"
"182","tea",NA,NA,NA,"arrival_1, arrival_3, arrival_6"
"183","teapot","DR2",93.3,"teapot_01_og.jpg","arrival_1, arrival_2"
"184","train","moreno-martinez",93,"train.jpg","arrival_1, arrival_4, wild_west"
"185","trunk",NA,NA,NA,"arrival_1"
"186","wife",NA,NA,NA,"arrival_1, arrival_5, arrival_6"
"187","window","brodeur",82,"dormer.jpg","arrival_1, arrival_3, arrival_4, arrival_5, arrival_6, flowerman, journey, waldo_1, wanderer"
"188","woman",NA,NA,NA,"arrival_1, arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, dinosaurs_spacemen_and_ghouls, exhibit_12, flowerman, journey, picture_this, unfriendly_giants, waldo_1"
"189","baby",NA,NA,NA,"arrival_2, arrival_6, escape_from_the_zoo"
"190","boat","moreno-martinez",86,"boat.jpg","arrival_2, arrival_4, arrival_5, arrival_6, being_a_pirate, by_the_lake, campsite, deep_sea_divers, journey, make_a_splash, quest, return, wanderer"
"191","book","boss",90,"book01b.jpg","arrival_2, arrival_3, arrival_4, journey, picture_this"
"192","city","DR2",74.1,"city_01_og.jpg","arrival_2, arrival_4, arrival_5, arrival_6, flowerman, journey, quest, return, waldo_1, wanderer"
"193","creature",NA,NA,NA,"arrival_2, arrival_3, arrival_4, arrival_5, arrival_6, deep_sea_divers, dinosaurs_spacemen_and_ghouls, quest, return, wanderer"
"194","deck",NA,NA,NA,"arrival_2"
"195","dock",NA,NA,NA,"arrival_2, arrival_5, by_the_lake, journey, return, wanderer"
"196","front",NA,NA,NA,"arrival_2, arrival_3, arrival_4, arrival_6, campsite, escape_from_the_zoo, flowerman, journey, quest, return, wanderer, wild_west"
"197","gate","brodeur",71,"entrancegate.jpg","arrival_2"
"198","harbor",NA,NA,NA,"arrival_2, wanderer"
"199","journal",NA,NA,NA,"arrival_2"
