"","lemma","source","agreement","target","stimuli"
"331","flower","brodeur, brodeur",89,"hibiscusflower02.jpg","arrival_6, arrival_6, campsite, campsite, flowerman, flowerman, unfriendly_giants, unfriendly_giants, wanderer, wanderer"
"332","flower","brodeur, brodeur",89,"lily.jpg","arrival_6, arrival_6, campsite, campsite, flowerman, flowerman, unfriendly_giants, unfriendly_giants, wanderer, wanderer"
"333","hole",NA,NA,NA,"arrival_6, wanderer"
"334","ink",NA,NA,NA,"arrival_6"
"335","insect",NA,NA,NA,"arrival_6"
"336","lamp","boss",92,"lamp04a.jpg","arrival_6, flowerman, journey, return, wanderer"
"337","laundry",NA,NA,NA,"arrival_6"
"338","leaf","boss",97,"leaf02a.jpg","arrival_6"
"339","leave",NA,NA,NA,"arrival_6, wanderer"
"340","letter",NA,NA,NA,"arrival_6"
"341","mailbox","brodeur, DR2",100,"mailbox02.jpg","arrival_6, arrival_6, journey, journey"
"342","mailbox","brodeur, DR2",100,"mailbox_01_og.jpg","arrival_6, arrival_6, journey, journey"
"343","middle",NA,NA,NA,"arrival_6, escape_from_the_zoo, flowerman, quest, return, unfriendly_giants, waldo_1, wanderer"
"344","mirror","DR2",100,"mirror_02_og.jpg","arrival_6, dinosaurs_spacemen_and_ghouls, return"
"345","object",NA,NA,NA,"arrival_6"
"346","part",NA,NA,NA,"arrival_6, campsite, dinosaurs_spacemen_and_ghouls, flowerman, journey, quest, return, wanderer, wild_west"
"347","pen","boss",90,"pen04b.jpg","arrival_6, journey, return"
"348","petal",NA,NA,NA,"arrival_6"
"349","plant","boss",84,"plant01.jpg","arrival_6, return, waldo_1, wanderer"
"350","rack",NA,NA,NA,"arrival_6"
"351","rain",NA,NA,NA,"arrival_6, quest"
"352","saucer",NA,NA,NA,"arrival_6, dinosaurs_spacemen_and_ghouls"
"353","season",NA,NA,NA,"arrival_6"
"354","seed",NA,NA,NA,"arrival_6"
"355","snow",NA,NA,NA,"arrival_6"
"356","split",NA,NA,NA,"arrival_6"
"357","stamp",NA,NA,NA,"arrival_6, wild_west"
"358","stem",NA,NA,NA,"arrival_6"
"359","step",NA,NA,NA,"arrival_6, flowerman, journey, quest, return, wanderer"
"360","tree","brodeur",95,"tree.jpg","arrival_6, being_a_pirate, birthday_party_fun, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, wanderer"
"361","winter",NA,NA,NA,"arrival_6"
"362","write",NA,NA,NA,"arrival_6"
"363","beach",NA,NA,NA,"being_a_pirate, by_the_lake"
"364","cannon","moreno-martinez",98,"cannon.jpg","being_a_pirate, make_a_splash"
"365","crossbone",NA,NA,NA,"being_a_pirate"
"366","island","moreno-martinez",84,"island.jpg","being_a_pirate, quest, wanderer"
"367","mast",NA,NA,NA,"being_a_pirate, wanderer"
"368","nest",NA,NA,NA,"being_a_pirate"
"369","octopus",NA,NA,NA,"being_a_pirate, deep_sea_divers, quest, wanderer"
"370","palm",NA,NA,NA,"being_a_pirate, journey, picture_this, quest"
"371","pirate",NA,NA,NA,"being_a_pirate, birthday_party_fun"
"372","plank",NA,NA,NA,"being_a_pirate"
"373","sail",NA,NA,NA,"being_a_pirate, deep_sea_divers, wanderer"
"374","sea","moreno-martinez",93,"sea.jpg","being_a_pirate, deep_sea_divers, make_a_splash, quest, return, wanderer"
"375","shark","DR2",100,"shark_01_og.jpg","being_a_pirate, campsite, deep_sea_divers, exhibit_12"
"376","shore",NA,NA,NA,"being_a_pirate, wanderer"
"377","skull",NA,NA,NA,"being_a_pirate"
"378","treasure",NA,NA,NA,"being_a_pirate, deep_sea_divers"
"379","year",NA,NA,NA,"being_a_pirate"
"380","alligator",NA,NA,NA,"birthday_party_fun, wanderer"
"381","backyard",NA,NA,NA,"birthday_party_fun"
"382","bat","moreno-martinez",96,"bat.jpg","birthday_party_fun, wanderer"
"383","birthday",NA,NA,NA,"birthday_party_fun"
"384","bouncy",NA,NA,NA,"birthday_party_fun"
"385","bunny",NA,NA,NA,"birthday_party_fun"
"386","cake",NA,NA,NA,"birthday_party_fun"
"387","castle","DR2",100,"castle_01_og.jpg","birthday_party_fun, by_the_lake, journey, quest, return, unfriendly_giants"
"388","clown",NA,NA,NA,"birthday_party_fun, exhibit_12, flowerman"
"389","costume",NA,NA,NA,"birthday_party_fun, dinosaurs_spacemen_and_ghouls, exhibit_12, wanderer"
"390","cupcake","brodeur",95,"cupcake.jpg","birthday_party_fun"
"391","devil",NA,NA,NA,"birthday_party_fun"
"392","dog",NA,NA,NA,"birthday_party_fun, by_the_lake, campsite, escape_from_the_zoo, flowerman, picture_this, waldo_1, wanderer"
"393","fence","DR2",100,"fence_02_og.jpg","birthday_party_fun, flowerman"
"394","gift",NA,NA,NA,"birthday_party_fun"
"395","gun","moreno-martinez",90,"gun.jpg","birthday_party_fun, make_a_splash, wanderer, wild_west"
"396","kid",NA,NA,NA,"birthday_party_fun, by_the_lake, campsite, escape_from_the_zoo, flowerman, journey, make_a_splash, quest, waldo_1"
"397","lady",NA,NA,NA,"birthday_party_fun, flowerman"
"398","lantern",NA,NA,NA,"birthday_party_fun, journey, quest, return"
"399","mermaid",NA,NA,NA,"birthday_party_fun, campsite, deep_sea_divers, quest"
"400","party",NA,NA,NA,"birthday_party_fun"
"401","penguin","moreno-martinez",99,"penguin.jpg","birthday_party_fun, by_the_lake, escape_from_the_zoo, make_a_splash"
"402","pig","brodeur",90,"pig.jpg","birthday_party_fun"
"403","pinata",NA,NA,NA,"birthday_party_fun"
"404","pool","DR2",100,"pool_01_og.jpg","birthday_party_fun, make_a_splash"
"405","present",NA,NA,NA,"birthday_party_fun"
"406","princess",NA,NA,NA,"birthday_party_fun"
"407","robot",NA,NA,NA,"birthday_party_fun"
"408","sandwich",NA,NA,NA,"birthday_party_fun"
"409","tug",NA,NA,NA,"birthday_party_fun"
"410","viking",NA,NA,NA,"birthday_party_fun"
"411","war",NA,NA,NA,"birthday_party_fun"
"412","witch",NA,NA,NA,"birthday_party_fun"
"413","zebra","moreno-martinez",99,"zebra.jpg","birthday_party_fun, escape_from_the_zoo, wanderer"
"414","ball","moreno-martinez",89,"ball.jpg","by_the_lake, flowerman, journey, make_a_splash, return, wanderer"
"415","board",NA,NA,NA,"by_the_lake, return, unfriendly_giants"
"416","cabin",NA,NA,NA,"by_the_lake"
"417","cooler",NA,NA,NA,"by_the_lake"
"418","float",NA,NA,NA,"by_the_lake, wanderer"
"419","group",NA,NA,NA,"by_the_lake, unfriendly_giants, wanderer"
"420","guitar","brodeur",71,"acousticguitar02.jpg","by_the_lake, campsite"
"421","kayak",NA,NA,NA,"by_the_lake"
"422","kite","brodeur",98,"kite.jpg","by_the_lake, journey, return, wanderer"
"423","kites",NA,NA,NA,"by_the_lake"
"424","lake",NA,NA,NA,"by_the_lake"
"425","mountain","moreno-martinez",83,"mountain.jpg","by_the_lake, journey, quest, wanderer"
"426","net",NA,NA,NA,"by_the_lake, deep_sea_divers, escape_from_the_zoo, journey, wanderer"
"427","paddle",NA,NA,NA,"by_the_lake, journey, quest"
"428","platform",NA,NA,NA,"by_the_lake, journey"
"429","raft",NA,NA,NA,"by_the_lake, campsite"
