"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","LgSUBTLCD2","Age_Of_Acquisition2"
"cupcake","2.004",4.11,6,"NA",NA,"2.004","4.11"
"curtain","2.5209999999999999",4.95,4,"NA",NA,"2.5209999999999999","4.95"
"cymbals","1.2549999999999999",NA,6,"NA",NA,"1.2549999999999999","8.1293199999999999"
"daisy","2.2530000000000001",5.55,4,"NA",NA,"2.2530000000000001","5.55"
"Dalmatian","1.3009999999999999",6.06,7,"NA",NA,"1.3009999999999999","6.06"
"dart","1.857",7.38,4,"NA",NA,"1.857","7.38"
"dartboard","0.77800000000000002",8.44,8,"NA",NA,"0.77800000000000002","8.44"
"deer","2.391",5.17,3,"NA",NA,"2.391","5.17"
"dentist","2.4700000000000002",5.22,7,"NA",NA,"2.4700000000000002","5.22"
"deodorant","1.869",8.83,8,"NA",NA,"1.869","8.83"
"diamond","2.6760000000000002",6.47,6,"NA",NA,"2.6760000000000002","6.47"
"diaper","2.2069999999999999",3.4,4,"NA",NA,"2.2069999999999999","3.4"
"dice","2.4710000000000001",6.37,3,"NA",NA,"2.4710000000000001","6.37"
"doghouse","1.6719999999999999",6.74,6,"NA",NA,"1.6719999999999999","6.74"
"doll","2.8119999999999998",3.68,3,"NA",NA,"2.8119999999999998","3.68"
"dolphin","1.863",6.05,6,"NA",NA,"1.863","6.05"
"donkey","2.2120000000000002",6,5,"NA",NA,"2.2120000000000002","6"
"doughnut","2.2120000000000002",5.42,5,"NA",NA,"2.2120000000000002","5.42"
"dragonfly","1.716",6.8,9,"NA",NA,"1.716","6.8"
"drawer","2.6659999999999999",5.37,4,"NA",NA,"2.6659999999999999","5.37"
"dress","3.34",4.05,4,"NA",NA,"3.34","4.05"
"dresser","2.2040000000000002",4.28,5,"NA",NA,"2.2040000000000002","4.28"
"drill","2.669",7.14,4,"NA",NA,"2.669","7.14"
"dropper","0.95399999999999996",8.56,5,"NA",NA,"0.95399999999999996","8.56"
"drum","2.4329999999999998",4.63,4,"NA",NA,"2.4329999999999998","4.63"
"drumsticks","1.1759999999999999",NA,9,"NA",NA,"1.1759999999999999",NA
"duck","2.8479999999999999",3.5,3,"NA",NA,"2.8479999999999999","3.5"
"dustpan","1.0409999999999999",6.47,6,"NA",NA,"1.0409999999999999","6.47"
"eagle","2.4470000000000001",5.83,3,"NA",NA,"2.4470000000000001","5.83"
"ear","3.044",3.63,2,"NA",NA,"3.044","3.63"
"earring","1.982",7.17,5,"NA",NA,"1.982","7.17"
"earrings","2.2949999999999999",7.17,6,"NA",NA,"2.2949999999999999","7.17"
"egg","2.8610000000000002",3.89,2,"NA",NA,"2.8610000000000002","3.89"
"eggplant","1.623",8.3,7,"NA",NA,"1.623","8.3"
"elbow","2.3980000000000001",4.78,4,"NA",NA,"2.3980000000000001","4.78"
"elephant","2.4980000000000002",4.8,7,"NA",NA,"2.4980000000000002","4.8"
"envelope","2.5139999999999998",6.25,7,"NA",NA,"2.5139999999999998","6.25"
"eraser","1.462",4.95,5,"NA",NA,"1.462","4.95"
"escalator","1.69",7.11,8,"NA",NA,"1.69","7.11"
"eye","3.5070000000000001",3.75,1,"NA",NA,"3.5070000000000001","3.75"
"fan","3.0409999999999999",5.63,3,"NA",NA,"3.0409999999999999","5.63"
"feather","2.3650000000000002",4.67,4,"NA",NA,"2.3650000000000002","4.67"
"fence","2.7429999999999999",6.28,4,"NA",NA,"2.7429999999999999","6.28"
"fig","1.663",8.06,3,"NA",NA,"1.663","8.06"
"finger","3.11",3.43,5,"NA",NA,"3.11","3.43"
"fingerprint","2.0449999999999999",7.56,10,"NA",NA,"2.0449999999999999","7.56"
"fireplace","2.2789999999999999",7.37,7,"NA",NA,"2.2789999999999999","7.37"
"fish","3.2330000000000001",4.05,3,"NA",NA,"3.2330000000000001","4.05"
"flag","2.6970000000000001",5.33,4,"NA",NA,"2.6970000000000001","5.33"
"flamingo","1.6020000000000001",6.32,8,"NA",NA,"1.6020000000000001","6.32"
"flashlight","2.3239999999999998",5.61,7,"NA",NA,"2.3239999999999998","5.61"
"floor","3.4369999999999998",4.44,4,"NA",NA,"3.4369999999999998","4.44"
"fly","3.3260000000000001",3.05,3,"NA",NA,"3.3260000000000001","3.05"
"flyswatter","0.47699999999999998",5.79,8,"NA",NA,"0.47699999999999998","5.79"
"folder","1.792",8.21,5,"NA",NA,"1.792","8.21"
"fondue","1.431",10.78,5,"NA",NA,"1.431","10.78"
"football","2.907",4.84,6,"NA",NA,"2.907","4.84"
"fork","2.5009999999999999",3.63,4,"NA",NA,"2.5009999999999999","3.63"
"fountain","2.3769999999999998",7.17,5,"NA",NA,"2.3769999999999998","7.17"
"fox","2.613",5.017,4,"NA",NA,"2.613","5.017"
"fridge","2.5939999999999999",4.67,4,"NA",NA,"2.5939999999999999","4.67"
"Frisbee","1.7709999999999999",5.5,6,"NA",NA,"1.7709999999999999","5.5"
"fritter","1.1759999999999999",13,5,"NA",NA,"1.1759999999999999","13"
"funnel","1.6719999999999999",8.44,4,"NA",NA,"1.6719999999999999","8.44"
"garlic","2.286",6.89,6,"NA",NA,"2.286","6.89"
"gate","2.956",5.32,3,"NA",NA,"2.956","5.32"
"gazebo","1.4770000000000001",9.76,6,"NA",NA,"1.4770000000000001","9.76"
"ginger","2.31",8.05,5,"NA",NA,"2.31","8.05"
"glasses","3.004",4.346,6,"NA",NA,"3.004","4.346"
"globe","2.3199999999999998",6.5,4,"NA",NA,"2.3199999999999998","6.5"
"gorilla","2.1960000000000002",5.74,6,"NA",NA,"2.1960000000000002","5.74"
"grapes","2.1139999999999999",3.94,5,"NA",NA,"2.1139999999999999","3.94"
"grasshopper","1.5680000000000001",5.78,8,"NA",NA,"1.5680000000000001","5.78"
"grenade","2.19",9.72,6,"NA",NA,"2.19","9.72"
"grill","2.2599999999999998",6.53,4,"NA",NA,"2.2599999999999998","6.53"
"guitar","2.5339999999999998",5.32,5,"NA",NA,"2.5339999999999998","5.32"
"gun","3.4740000000000002",5.58,3,"NA",NA,"3.4740000000000002","5.58"
"hammer","2.5979999999999999",5.42,4,"NA",NA,"2.5979999999999999","5.42"
"hammock","1.623",7.11,5,"NA",NA,"1.623","7.11"
"hand","3.7450000000000001",2.74,4,"NA",NA,"3.7450000000000001","2.74"
"handcuffs","2.34",6.28,8,"NA",NA,"2.34","6.28"
"hanger","1.74",6.78,4,"NA",NA,"1.74","6.78"
"harmonica","1.653",7.32,9,"NA",NA,"1.653","7.32"
"harp","1.9139999999999999",7.55,4,"NA",NA,"1.9139999999999999","7.55"
"hat","3.238",3.33,3,"NA",NA,"3.238","3.33"
"headphones","1.806",7.74,7,"NA",NA,"1.806","7.74"
"helicopter","2.6539999999999999",5.26,9,"NA",NA,"2.6539999999999999","5.26"
"helmet","2.4830000000000001",5.71,6,"NA",NA,"2.4830000000000001","5.71"
"hen","2.0329999999999999",6.39,3,"NA",NA,"2.0329999999999999","6.39"
"hinge","1.4470000000000001",7.95,4,"NA",NA,"1.4470000000000001","7.95"
"hippopotamus","1.2789999999999999",7,11,"NA",NA,"1.2789999999999999","7"
"hoe","1.462",8.72,2,"NA",NA,"1.462","8.72"
"horse","3.198",4.15,4,"NA",NA,"3.198","4.15"
"horseshoe","1.613",5.85,6,"NA",NA,"1.613","5.85"
"house","3.7810000000000001",3.16,3,"NA",NA,"3.7810000000000001","3.16"
"hummingbird","1.38",6.95,8,"NA",NA,"1.38","6.95"
"iceberg","1.909",8.21,5,"NA",NA,"1.909","8.21"
"icecube","#",NA,6,"NA",NA,"#",NA
"icepack","#",6.89,5,"NA",NA,"#","6.89"
"igloo","1.1759999999999999",5.42,4,"NA",NA,"1.1759999999999999","5.42"
"iron","2.7949999999999999",7.32,3,"NA",NA,"2.7949999999999999","7.32"
"island","2.8359999999999999",7.41,5,"NA",NA,"2.8359999999999999","7.41"
"jacket","2.988",3.95,5,"NA",NA,"2.988","3.95"
"jar","2.4740000000000002",5.44,3,"NA",NA,"2.4740000000000002","5.44"
"jeans","2.387",5.26,4,"NA",NA,"2.387","5.26"
"jeep","2.38",6.32,3,"NA",NA,"2.38","6.32"
"jellyfish","1.613",6.61,7,"NA",NA,"1.613","6.61"
"kangaroo","1.778",5.55,7,"NA",NA,"1.778","5.55"
"key","3.3359999999999999",3.58,2,"NA",NA,"3.3359999999999999","3.58"
"keyboard","1.8260000000000001",9.32,6,"NA",NA,"1.8260000000000001","9.32"
"keys","3.1549999999999998",3.58,3,"NA",NA,"3.1549999999999998","3.58"
"kite","1.887",4.58,3,"NA",NA,"1.887","4.58"
"kiwi","1.38",7.56,4,"NA",NA,"1.38","7.56"
"knee","2.7280000000000002",4.42,2,"NA",NA,"2.7280000000000002","4.42"
"knife","3.0990000000000002",4.15,3,"NA",NA,"3.0990000000000002","4.15"
"ladder","2.4969999999999999",4.399,4,"NA",NA,"2.4969999999999999","4.399"
"ladle","1.4470000000000001",9.83,4,"NA",NA,"1.4470000000000001","9.83"
"ladybird","0.84499999999999997",10.53,7,"NA",NA,"0.84499999999999997","10.53"
"ladybug","1.1459999999999999",4.84,7,"NA",NA,"1.1459999999999999","4.84"
"lamp","2.5859999999999999",4,4,"NA",NA,"2.5859999999999999","4"
"leaf","2.3380000000000001",4.6,3,"NA",NA,"2.3380000000000001","4.6"
"lettuce","2.093",4.28,5,"NA",NA,"2.093","4.28"
"level","3.202",6,4,"NA",NA,"3.202","6"
"lightbulb","#",5.89,7,"NA",NA,"#","5.89"
"lighter","2.5529999999999999",7.117,4,"NA",NA,"2.5529999999999999","7.117"
"lighthouse","1.819",6.11,6,"NA",NA,"1.819","6.11"
"lime","2.093",6.61,3,"NA",NA,"2.093","6.61"
"lion","2.5169999999999999",4.42,4,"NA",NA,"2.5169999999999999","4.42"
"lips","3.0249999999999999",3.79,4,"NA",NA,"3.0249999999999999","3.79"
"lipstick","2.5209999999999999",5.42,7,"NA",NA,"2.5209999999999999","5.42"
"lizard","2.0640000000000001",5.42,5,"NA",NA,"2.0640000000000001","5.42"
"llama","1.4470000000000001",8.61,4,"NA",NA,"1.4470000000000001","8.61"
"lobster","2.3050000000000002",7.44,6,"NA",NA,"2.3050000000000002","7.44"
"lock","3.2709999999999999",5.74,3,"NA",NA,"3.2709999999999999","5.74"
"locker","2.6920000000000002",8.22,4,"NA",NA,"2.6920000000000002","8.22"
"lollipop","1.792",3.89,7,"NA",NA,"1.792","3.89"
"ludo","0.47699999999999998",NA,4,"NA",NA,"0.47699999999999998",NA
"lynx","0.30099999999999999",10.53,5,"NA",NA,"0.30099999999999999","10.53"
"magnet","1.978",6.1,6,"NA",NA,"1.978","6.1"
"marble","2.19",7.05,5,"NA",NA,"2.19","7.05"
"marker","2.2069999999999999",4.89,5,"NA",NA,"2.2069999999999999","4.89"
"mask","2.6819999999999999",4.8,4,"NA",NA,"2.6819999999999999","4.8"
"match","3.1930000000000001",5.72,3,"NA",NA,"3.1930000000000001","5.72"
"mattress","2.3639999999999999",5.1,6,"NA",NA,"2.3639999999999999","5.1"
"medal","2.4729999999999999",6.83,4,"NA",NA,"2.4729999999999999","6.83"
"microphone","2.2330000000000001",6.25,8,"NA",NA,"2.2330000000000001","6.25"
"microscope","2.0169999999999999",9.16,9,"NA",NA,"2.0169999999999999","9.16"
"microwave","2.2200000000000002",7.67,8,"NA",NA,"2.2200000000000002","7.67"
"mill","2.2829999999999999",8.17,3,"NA",NA,"2.2829999999999999","8.17"
"mirror","2.9409999999999998",4.89,3,"NA",NA,"2.9409999999999998","4.89"
"mixer","1.6990000000000001",7.05,5,"NA",NA,"1.6990000000000001","7.05"
"monkey","2.8940000000000001",4.21,5,"NA",NA,"2.8940000000000001","4.21"
"moon","3.0670000000000002",4.83,3,"NA",NA,"3.0670000000000002","4.83"
"moose","2.1040000000000001",5.22,3,"NA",NA,"2.1040000000000001","5.22"
"mop","2.1819999999999999",5.11,3,"NA",NA,"2.1819999999999999","5.11"
"mosquito","1.881",6.1,7,"NA",NA,"1.881","6.1"
"motorbike","1.544",7.95,7,"NA",NA,"1.544","7.95"
"motorcycle","2.387",5.05,8,"NA",NA,"2.387","5.05"
"mountain","2.9470000000000001",6.15,5,"NA",NA,"2.9470000000000001","6.15"
"mouse","2.6030000000000002",4.94,3,"NA",NA,"2.6030000000000002","4.94"
"mousetrap","1.4470000000000001",6.78,7,"NA",NA,"1.4470000000000001","6.78"
"mouth","3.48",3.58,3,"NA",NA,"3.48","3.58"
"mummy","2.2229999999999999",5.47,4,"NA",NA,"2.2229999999999999","5.47"
"mushroom","1.9239999999999999",6.44,6,"NA",NA,"1.9239999999999999","6.44"
"mussel","0.95399999999999996",10,4,"NA",NA,"0.95399999999999996","10"
"nail","2.8519999999999999",5.42,3,"NA",NA,"2.8519999999999999","5.42"
"necklace","2.4470000000000001",5,6,"NA",NA,"2.4470000000000001","5"
"needle","2.6360000000000001",5.32,4,"NA",NA,"2.6360000000000001","5.32"
"nose","3.3279999999999998",2.95,3,"NA",NA,"3.3279999999999998","2.95"
"nut","2.742",5.21,3,"NA",NA,"2.742","5.21"
"nutcracker","1.5049999999999999",7.24,8,"NA",NA,"1.5049999999999999","7.24"
"olive","2.2650000000000001",6.68,4,"NA",NA,"2.2650000000000001","6.68"
"orange","2.8359999999999999",3.26,5,"NA",NA,"2.8359999999999999","3.26"
"ostrich","1.532",6.42,6,"NA",NA,"1.532","6.42"
"owl","2.14",6.21,2,"NA",NA,"2.14","6.21"
"paint","3.0110000000000001",4.45,4,"NA",NA,"3.0110000000000001","4.45"
"paintbrush","1.23",6.22,8,"NA",NA,"1.23","6.22"
"painting","2.806",5.26,6,"NA",NA,"2.806","5.26"
"pan","2.5649999999999999",4.72,3,"NA",NA,"2.5649999999999999","4.72"
"panda","1.58",5.67,5,"NA",NA,"1.58","5.67"
"pants","3.2480000000000002",3.227,5,"NA",NA,"3.2480000000000002","3.227"
"paper","3.42",4,4,"NA",NA,"3.42","4"
"parachute","2.0830000000000002",7,7,"NA",NA,"2.0830000000000002","7"
"parrot","1.982",5.58,5,"NA",NA,"1.982","5.58"
"pasty","1.4770000000000001",11.17,5,"NA",NA,"1.4770000000000001","11.17"
"peach","2.3279999999999998",4.21,3,"NA",NA,"2.3279999999999998","4.21"
"peacock","1.7629999999999999",5.763,5,"NA",NA,"1.7629999999999999","5.763"
"peanut","2.56",5,5,"NA",NA,"2.56","5"
"pear","1.653",4,3,"NA",NA,"1.653","4"
"peas","2.2149999999999999",3.95,3,"NA",NA,"2.2149999999999999","3.95"
"pelican","1.591",8.22,7,"NA",NA,"1.591","8.22"
"pen","2.9119999999999999",5.11,3,"NA",NA,"2.9119999999999999","5.11"
"pencil","2.593",4.06,5,"NA",NA,"2.593","4.06"
"pendant","1.462",10.3,7,"NA",NA,"1.462","10.3"
"penguin","1.7849999999999999",5.68,7,"NA",NA,"1.7849999999999999","5.68"
"pepper","2.4279999999999999",5.47,4,"NA",NA,"2.4279999999999999","5.47"
"piano","2.7770000000000001",5.5,5,"NA",NA,"2.7770000000000001","5.5"
